rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg01_theta12p490_foil0	0	3	0	3	540	270	108	86	68	0
rg01_theta12p490_foil0	0	3	0	4	691	352	139	101	88	0
rg01_theta12p490_foil0	0	3	0	5	1023	378	205	148	252	0
rg01_theta12p490_foil0	0	3	0	6	208	99	42	28	25	0
rg01_theta12p490_foil0	0	3	0	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	3	1	1	3	0	1	0	0	3
rg01_theta12p490_foil0	0	3	1	2	394	193	79	67	49	0
rg01_theta12p490_foil0	0	3	1	3	718	352	144	118	89	0
rg01_theta12p490_foil0	0	3	1	4	1043	378	209	172	268	0
rg01_theta12p490_foil0	0	3	1	5	1464	378	293	228	499	0
rg01_theta12p490_foil0	0	3	1	6	1905	378	381	282	788	0
rg01_theta12p490_foil0	0	3	1	7	15	0	3	0	0	15
rg01_theta12p490_foil0	0	3	2	1	137	68	28	20	18	0
rg01_theta12p490_foil0	0	3	2	2	555	268	111	89	68	0
rg01_theta12p490_foil0	0	3	2	3	19	0	4	0	0	19
rg01_theta12p490_foil0	0	3	2	4	1346	378	270	213	463	0
rg01_theta12p490_foil0	0	3	2	5	1799	378	360	287	744	0
rg01_theta12p490_foil0	0	3	2	6	2397	378	480	370	1129	0
rg01_theta12p490_foil0	0	3	2	7	790	378	158	127	130	0
rg01_theta12p490_foil0	0	3	3	1	326	156	66	53	40	0
rg01_theta12p490_foil0	0	3	3	2	689	348	138	116	87	0
rg01_theta12p490_foil0	0	3	3	3	1081	378	217	178	288	0
rg01_theta12p490_foil0	0	3	3	4	1577	378	316	247	597	0
rg01_theta12p490_foil0	0	3	3	5	2181	378	437	342	974	0
rg01_theta12p490_foil0	0	3	3	6	2965	378	593	455	1477	0
rg01_theta12p490_foil0	0	3	3	7	1843	378	369	273	785	0
rg01_theta12p490_foil0	0	3	4	1	325	160	65	47	41	0
rg01_theta12p490_foil0	0	3	4	2	737	376	148	114	95	0
rg01_theta12p490_foil0	0	3	4	3	1209	378	242	182	373	0
rg01_theta12p490_foil0	0	3	4	4	483	236	97	77	59	0
rg01_theta12p490_foil0	0	3	4	5	2385	378	477	381	1114	0
rg01_theta12p490_foil0	0	3	4	6	3172	378	635	485	1557	0
rg01_theta12p490_foil0	0	3	4	7	2180	378	436	350	1019	0
rg01_theta12p490_foil0	0	3	5	1	234	108	47	36	27	0
rg01_theta12p490_foil0	0	3	5	2	659	320	132	94	80	0
rg01_theta12p490_foil0	0	3	5	3	1007	378	202	159	226	0
rg01_theta12p490_foil0	0	3	5	4	1541	378	309	241	587	0
rg01_theta12p490_foil0	0	3	5	5	37	0	8	0	0	37
rg01_theta12p490_foil0	0	3	5	6	3040	378	608	478	1511	0
rg01_theta12p490_foil0	0	3	5	7	1594	378	319	259	628	0
rg01_theta12p490_foil0	0	3	6	1	117	60	24	20	16	0
rg01_theta12p490_foil0	0	3	6	2	617	313	124	108	79	0
rg01_theta12p490_foil0	0	3	6	3	887	378	178	144	178	0
rg01_theta12p490_foil0	0	3	6	4	1315	378	263	211	440	0
rg01_theta12p490_foil0	0	3	6	5	1814	378	363	289	742	0
rg01_theta12p490_foil0	0	3	6	6	2502	378	501	393	1153	0
rg01_theta12p490_foil0	0	3	6	7	680	357	136	111	90	0
rg01_theta12p490_foil0	0	3	7	1	3	0	1	0	0	3
rg01_theta12p490_foil0	0	3	7	2	425	211	85	64	53	0
rg01_theta12p490_foil0	0	3	7	3	684	349	137	111	88	0
rg01_theta12p490_foil0	0	3	7	4	1030	378	206	165	235	0
rg01_theta12p490_foil0	0	3	7	5	1452	378	291	226	513	0
rg01_theta12p490_foil0	0	3	7	6	1926	378	386	305	861	0
rg01_theta12p490_foil0	0	3	7	7	15	0	3	0	0	15
rg01_theta12p490_foil0	0	3	8	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	3	8	2	166	86	34	26	22	0
rg01_theta12p490_foil0	0	3	8	3	481	246	97	73	62	0
