model	pool	target	rms_gain_percent	low95	high95	clusters	replicates
all_core_squared_beam_basis	core	xptar	1.9728566029807215	1.486477066336561	2.503650949986958	2587	500
all_core_squared_beam_basis	core	ytar	0.7540785114494408	0.4868690564097991	1.0107743710174775	2587	500
all_core_squared_beam_basis	core	yptar	0.019511342263300868	-0.2189620497595951	0.24616979373966194	2587	500
all_core_huber_beam_basis	core	xptar	1.9628222455003952	1.475346540610073	2.4813679137037217	2587	500
all_core_huber_beam_basis	core	ytar	0.7279916789034391	0.4519183999045026	0.9933636890151272	2587	500
all_core_huber_beam_basis	core	yptar	0.02080433460874831	-0.21830268159987176	0.2466967731610314	2587	500
all_supported_squared_beam_basis	core	xptar	-2.454218146279219	-3.176964750405984	-1.7186541669583428	2587	500
all_supported_squared_beam_basis	core	ytar	-0.010643713297531221	-0.38635871386791587	0.36973909640178687	2587	500
all_supported_squared_beam_basis	core	yptar	-1.2552031503952454	-1.6820434236022546	-0.9109549747273127	2587	500
all_supported_huber_beam_basis	core	xptar	1.0648034298482378	0.5371678518691897	1.519359000052388	2587	500
all_supported_huber_beam_basis	core	ytar	0.5333743998484963	0.22945939802548804	0.8654533414728871	2587	500
all_supported_huber_beam_basis	core	yptar	-0.24702647514587284	-0.5258516489141513	0.0028567035799378056	2587	500
balanced_squared_full	shoulder	xptar	0.0	0.0	0.0	2459	500
balanced_squared_full	shoulder	ytar	0.0	0.0	0.0	2459	500
balanced_squared_full	shoulder	yptar	0.0	0.0	0.0	2459	500
balanced_huber_full	shoulder	xptar	0.009133194596622207	-0.04137027630243428	0.04822293573439019	2459	500
balanced_huber_full	shoulder	ytar	-0.05201200910665005	-0.16149324581649915	0.06701857783289934	2459	500
balanced_huber_full	shoulder	yptar	0.033918270683885865	-0.04063869771234907	0.09944193846359499	2459	500
half_surplus_squared_full	shoulder	xptar	-0.30893216491298947	-0.4932581622662824	-0.14464577424397052	2459	500
half_surplus_squared_full	shoulder	ytar	0.7956744960408879	0.4024597625894691	1.1901747484081189	2459	500
