model	pool	group_kind	group	target	n	bias	spread	rms	width68	p95
all_supported_huber_enet_basis	shoulder	foil_delta	-3:0	xptar	245	-2.3887144849586135	7.529903244133772	7.8997088399932425	6.80393151984722	14.337816537719394
all_supported_huber_enet_basis	shoulder	foil_delta	-3:0	ytar	245	-0.06332228775766542	0.1792724240812861	0.1901271000221827	0.1838555350684974	0.3693224183731232
all_supported_huber_enet_basis	shoulder	foil_delta	-3:0	yptar	245	0.2663034406587899	1.294084048520662	1.3212006082129755	1.2275325370693686	2.5334035737646357
all_supported_huber_enet_basis	shoulder	foil_delta	-3:1	xptar	314	-1.0594192335850041	4.980222875670318	5.09165876741949	4.539201232448283	9.472423658272541
all_supported_huber_enet_basis	shoulder	foil_delta	-3:1	ytar	314	-0.03140866098154529	0.18381107450183257	0.18647523989573492	0.19263920359421283	0.37478148210473783
all_supported_huber_enet_basis	shoulder	foil_delta	-3:1	yptar	314	0.06555894727704406	1.5813518697795235	1.5827102424712076	1.5415491721933057	3.0845159994909888
all_supported_huber_enet_basis	shoulder	foil_delta	-3:2	xptar	508	-0.7687601646154612	3.432159232823481	3.5172018978379755	3.442757070856892	5.910877389509981
all_supported_huber_enet_basis	shoulder	foil_delta	-3:2	ytar	508	-0.061735912310376784	0.1284362348986544	0.142503295764473	0.13271304528213337	0.27264636505542833
all_supported_huber_enet_basis	shoulder	foil_delta	-3:2	yptar	508	0.09879371699989245	1.7730704984477517	1.7758207091326572	1.8153158431042267	3.1411597220048093
all_supported_huber_enet_basis	shoulder	foil_delta	-3:3	xptar	482	-0.9623152281079046	2.7743166832180894	2.9364746988575585	2.688769661251043	5.510759416263745
all_supported_huber_enet_basis	shoulder	foil_delta	-3:3	ytar	482	-0.06158836467207075	0.1083817446899085	0.124658450355395	0.11601066505359742	0.23541155131929792
all_supported_huber_enet_basis	shoulder	foil_delta	-3:3	yptar	482	0.23784954011438525	1.908871954415986	1.9236331620370164	1.9038565981305358	3.5415307802917133
all_supported_huber_enet_basis	shoulder	foil_delta	-3:4	xptar	236	-0.6706448333474823	2.3944245003761977	2.4865705661608475	1.9881006257339928	4.876006398591579
all_supported_huber_enet_basis	shoulder	foil_delta	-3:4	ytar	236	-0.07294839112214992	0.1620451236797554	0.17770787792244153	0.17731210260906194	0.3144157125243407
all_supported_huber_enet_basis	shoulder	foil_delta	-3:4	yptar	236	0.4301136394061843	1.6992637767937449	1.7528534239709193	1.4617135580329705	2.7192111513834525
all_supported_huber_enet_basis	shoulder	foil	0	xptar	11041	-0.05629102382625543	4.133731156526254	4.1341144098584515	3.5816283985953357	8.12704489276768
all_supported_huber_enet_basis	shoulder	foil	0	ytar	11041	-0.0027952715963025935	0.14908436005343884	0.14911056285803662	0.15759754179708588	0.2829401483951114
all_supported_huber_enet_basis	shoulder	foil	0	yptar	11041	0.008678223777564243	1.5520130287253913	1.5520372910794686	1.5958519044785435	2.8812907870491595
all_supported_huber_enet_basis	shoulder	foil_delta	0:0	xptar	1375	0.12408188454201974	6.638850537304437	6.640009997789078	5.779125747763743	12.266368821509815
all_supported_huber_enet_basis	shoulder	foil_delta	0:0	ytar	1375	-0.00993211180133662	0.19377750500224916	0.19403187441688788	0.21835599942038664	0.3400544055731648
