mode	raw_singular_value	unit_column_singular_value
177	1.043634080184334e-08	0.0006187595236910419
178	9.2145158039092982e-09	0.00058977831186747607
179	7.8958935133038245e-09	0.00056380118894796031
180	6.5818708042162066e-09	0.00053561187072961641
181	5.9231070957282546e-09	0.00053130644152809029
182	4.7243208043893499e-09	0.00048184855229350834
183	4.2076656045453728e-09	0.00047327066541536905
184	3.4769359998223408e-09	0.00045116233122314241
185	3.165946257511912e-09	0.0004350343678095988
186	3.0212426144564881e-09	0.00041783403702528877
187	2.7181489468553243e-09	0.00037565669235300992
188	2.462351795925645e-09	0.00035552646096700095
189	2.0602012178677087e-09	0.00032291280713025376
190	1.7546084255137397e-09	0.00030992978766031492
191	1.3808945943164511e-09	0.00028994930585537386
192	1.1651360832503823e-09	0.0002528902200555464
193	1.0525291224138285e-09	0.00024551994274783854
194	1.0289576112773135e-09	0.00022124362434938432
195	9.4535774170178017e-10	0.00021593620635404788
196	9.157224195182208e-10	0.00018492353562494127
197	4.7046421402811262e-10	0.00017208151174926315
198	3.9387201643602317e-10	0.00016185393229674116
199	2.8497555826242746e-10	0.00015194752855838184
200	2.6955921333750202e-10	0.00013749873105321138
201	2.0064792297939968e-10	0.00013168576912428605
202	1.6677523227711709e-10	0.00012159172992139199
203	1.2279506973473162e-10	0.00011142341613052775
204	1.1593475802094768e-10	0.00010029300576593016
205	9.0690813535714745e-11	8.4297637512647554e-05
206	4.9126742652613549e-11	7.6548066074910313e-05
207	2.6078463724342239e-11	6.208370233573591e-05
208	1.9518116634446417e-11	4.7835273623261417e-05
209	1.1734669433819955e-11	3.263598822193106e-05
