rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg01_theta12p490_foil0	0	0	3	4	accepted	527	409	-2.860790908254965	-0.0403798382577196	-2.8353605930803725	-0.057934040298201324	3.2479584177449876	0.046196455829228586	0.003587694489365447
rg01_theta12p490_foil0	0	0	3	5	accepted	691	527	-2.860790908254965	1.4247022153163986	-2.8381083425184817	1.447483761083604	3.9707224798614122	0.06163521915022145	0.0048617055133951355
rg01_theta12p490_foil0	0	0	3	6	accepted	830	591	-2.7761597638483937	2.9908244105163186	-2.776748762571904	2.9904390572506565	4.5989735751224545	0.05571732976242098	0.0024713048415703543
rg01_theta12p490_foil0	0	0	4	2	accepted	319	207	-0.49111886487097384	-3.122104157844659	-0.5314690291012891	-3.121347361750167	1.6887683463390588	0.03559025407430187	0.010186872113867363
rg01_theta12p490_foil0	0	0	4	3	accepted	502	403	-0.4064877204644034	-1.6065020334576396	-0.4344094230539154	-1.5997443676893346	2.8620616269190013	0.026570766813251954	0.002856240792124262
rg01_theta12p490_foil0	0	0	4	4	accepted	183	144	-0.23722543165126025	-0.0403798382577196	-0.2532038999912477	-0.06788619108761083	1.0834418064786122	0.03451083983602243	0.0043172331441347295
rg01_theta12p490_foil0	0	0	4	5	accepted	743	570	-0.23722543165126025	1.4247022153163986	-0.22881013062292607	1.4280970115263203	4.347922754394785	0.045325999767856576	0.00835265498629306
rg01_theta12p490_foil0	0	0	4	6	accepted	898	647	-0.15259428724468982	2.9908244105163186	-0.13489215355910258	2.976090637958875	5.103244036420524	0.05725402710284022	0.007115735321401672
rg01_theta12p490_foil0	0	0	5	2	accepted	267	196	1.9631843229195893	-3.122104157844659	1.9871382698874753	-3.133249187292357	1.365130936583268	0.026306141721632002	0.004616060717404101
rg01_theta12p490_foil0	0	0	5	3	accepted	500	360	2.0478154673261595	-1.6065020334576396	2.070421284771269	-1.6026745606963757	2.7836183737243845	0.03888140282818182	0.005838556822142965
