xscol	yscol	subset	ndel	corrected	n	reacty_rms_cm	reacty_min_cm	reacty_max_cm	intercept_mrad	slope_mrad_per_cm	slope_error	residual_rms_mrad	predicted_slope
4	2	core	-1	1	2449	0.053248799057	-0.0997912995551	0.0873493055319	-2.03070593459	1.81938137088	0.522245829233	1.37903765759	0
4	2	core	0	0	262	0.0528434129954	-0.0989587839995	0.0858885905057	-2.33542056262	2.21405069505	1.96385285907	1.67743398295	5.95238095238
4	2	core	0	1	262	0.0528434129954	-0.0989587839995	0.0858885905057	-3.21819444358	-3.73833025733	1.96385285907	1.68496905302	0
4	2	core	1	0	447	0.0527139792798	-0.0994936888412	0.0862727604036	-1.76576592957	5.23463559307	1.27555552425	1.44501224301	5.95238095238
4	2	core	1	1	447	0.0527139792798	-0.0994936888412	0.0862727604036	-2.64853981052	-0.717745359316	1.27555552425	1.41892559545	0
4	2	core	2	0	829	0.0528109269668	-0.0997912995551	0.0853414812344	-0.823255170224	9.21850029588	0.796779791548	1.30434259868	5.95238095238
4	2	core	2	1	829	0.0528109269668	-0.0997912995551	0.0853414812344	-1.70602905118	3.2661193435	0.796779791548	1.22231358965	0
4	2	core	3	0	585	0.0543295999469	-0.0987611470825	0.0869611136325	-0.722723095959	9.1788308426	0.835821582743	1.20451725672	5.95238095238
4	2	core	3	1	585	0.0543295999469	-0.0987611470825	0.0869611136325	-1.60549697691	3.22644989021	0.835821582743	1.11036258436	0
4	2	core	4	0	326	0.053279761437	-0.0984030822896	0.0873493055319	-0.931743813691	9.71790970987	1.0561892361	1.13758384203	5.95238095238
4	2	core	4	1	326	0.053279761437	-0.0984030822896	0.0873493055319	-1.81451769464	3.76552875749	1.0561892361	1.03260077959	0
4	2	fp_inner	-1	0	1223	0.0493113646234	-0.0997912995551	0.0862727604036	-1.16572396131	-0.530643611607	0.692693814777	1.19385203632	5.95238095238
4	2	fp_inner	-1	1	1223	0.0493113646234	-0.0997912995551	0.0862727604036	-2.04849784226	-6.48302456399	0.692693814777	1.23563652737	0
4	6	core	-1	0	9322	0.053171280394	-0.102457470525	0.0879510564081	-0.651099139888	7.40108439813	0.252150695244	1.35283181994	5.95238095238
4	6	core	-1	1	9322	0.053171280394	-0.102457470525	0.0879510564081	-1.53387302084	1.44870344574	0.252150695244	1.29662077465	0
4	6	core	0	0	788	0.0518718115832	-0.0995331657925	0.086570882568	0.0407668248646	2.43037632133	1.09225025072	1.59341312151	5.95238095238
4	6	core	0	1	788	0.0518718115832	-0.0995331657925	0.086570882568	-0.842007056088	-3.52200463105	1.09225025072	1.5988898881	0
4	6	core	1	0	1479	0.0524647174297	-0.100338694475	0.0869913730207	-0.132454295012	5.69921723981	0.706699683963	1.455960642	5.95238095238
4	6	core	1	1	1479	0.0524647174297	-0.100338694475	0.0869913730207	-1.01522817596	-0.253163712572	0.706699683963	1.42498846636	0
4	6	core	2	0	2789	0.0536653144641	-0.102457470525	0.0874362178563	-0.769347504221	7.58370260311	0.431180954598	1.28759101614	5.95238095238
4	6	core	2	1	2789	0.0536653144641	-0.102457470525	0.0874362178563	-1.65212138517	1.63132165073	0.431180954598	1.22471247512	0
4	6	core	3	0	2420	0.0530595439273	-0.099807540401	0.0872424913724	-0.967797326701	9.19286638626	0.438958112252	1.24483078079	5.95238095238
4	6	core	3	1	2420	0.0530595439273	-0.099807540401	0.0872424913724	-1.85057120765	3.24048543388	0.438958112252	1.15812248675	0
4	6	core	4	0	1846	0.0536276280684	-0.100932580041	0.0879510564081	-0.771402722882	8.42389217323	0.454713161454	1.14043521348	5.95238095238
4	6	core	4	1	1846	0.0536276280684	-0.100932580041	0.0879510564081	-1.65417660383	2.47151122085	0.454713161454	1.05549920571	0
4	6	fp_inner	-1	0	4660	0.0498031989451	-0.100932580041	0.0872424913724	-0.730127431431	-1.62102353892	0.326333244778	1.1121556274	5.95238095238
4	6	fp_inner	-1	1	4660	0.0498031989451	-0.100932580041	0.0872424913724	-1.61290131238	-7.5734044913	0.326333244778	1.17159593614	0
