pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	qa_low	n	bias	spread	rms	median	p90
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	beam	ztar	False	34	-0.10405016449070027	0.8830824845305266	0.8891912680718079	0.6237240967195277	1.388873556131792
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	xptar	False	34	0.5106219534344452	2.9774774245424775	3.020944652420715	2.2220221906418134	4.659780539640967
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	ytar	False	34	0.20927225417811915	0.22002586517068934	0.3036548331788935	0.2765499839659409	0.45712855108568545
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	yptar	False	34	-0.779309420630176	1.3773699012175926	1.5825520585001627	1.1142561159433366	2.7252786074563433
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	ztar	False	34	1.0368266697895767	1.1113085423203009	1.5198737511454745	1.3843395588717469	2.289137537137729
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	start	xptar	False	34	-0.26418141891351404	3.022367030055225	3.0338909483473526	2.20788107697391	5.138284617885449
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	start	ytar	False	34	0.23243601280983145	0.20771026104161228	0.31172111348592807	0.2945620349270719	0.4651298647694324
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	start	yptar	False	34	-0.98678660202809	1.3466035121577342	1.6694576415404163	1.185489662076324	2.7104053631255973
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	start	ztar	False	34	1.156311796078925	1.0481176185231549	1.5606433006968372	1.4912094228633945	2.331873151052993
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	beam	xptar	False	34	0.6255640791251287	2.9693165710618	3.034496880254431	2.298668355717957	4.724053186591836
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	beam	ytar	False	34	0.21645233266113323	0.2172681405694176	0.3066872302867175	0.2850253099781956	0.4594740539819358
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	beam	yptar	False	34	-0.8564678015675229	1.359930498199437	1.6071552678739147	1.1039155363960478	2.6618285283557275
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	beam	ztar	False	34	1.0743162151665233	1.0965959706630555	1.5351475671883053	1.4279008033462808	2.3034608229606572
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	svd	xptar	False	34	1.06709459094046	2.425947105417365	2.650266066699206	2.13493751044809	3.708696892165523
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	svd	ytar	False	34	0.1612969974302534	0.19806695621529788	0.2554353940322443	0.2176311826223991	0.3831224746689269
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	svd	yptar	False	34	-0.5425292614954198	0.9691312428677451	1.1106544761901183	0.8488989380408523	1.8530766599474897
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	svd	ztar	False	34	0.8331613208033661	1.036167875028747	1.3295870229978926	1.1412166755858744	1.984058882435104
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	start	xptar	False	34	0.09854461028965626	2.5315821330589796	2.5334993855615187	1.9373556483724945	3.722520997136867
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	start	ytar	False	34	0.21703697510819092	0.18503719852025827	0.2852083683911448	0.27311996212438117	0.4149919256723607
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	start	yptar	False	34	-0.8191809775817742	0.948289844716062	1.2531205463256296	1.0930172493458234	1.969846738129915
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	start	ztar	False	34	1.1248508236059067	0.9667536113571529	1.4832066344373545	1.4123596469690498	2.1788155569952856
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	beam	xptar	False	34	0.9099894551765151	2.444413709133414	2.608301974452312	2.2637475361170534	3.7437337189747506
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	beam	ytar	False	34	0.18092088832525594	0.19574200568330805	0.26654699514592906	0.23612552491659966	0.40201601736112075
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	beam	yptar	False	34	-0.7550802979138378	0.9455182282340922	1.2100210643706113	0.998190028733614	1.9752514207096692
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	beam	ztar	False	34	0.9400027277887202	1.0218775360062955	1.3884663578367795	1.2407618676517855	2.086105173214787
