     0.0011647471 -7.85663638e-05  0.000508652229               0 00000
     0.0292677361     0.388253442   -0.0506185428               0 00060
  6.95321437e-310 6.91713519e-310 6.91713527e-310  6.2746337e-322 96228528088595472097541840
       1.12584242               0               0       0.7681777 00001
      -3.30929606               0               0     -1.24824954 10001
        9.5582156               0               0      7.18980365 01001
      -12.8075508               0               0     -1.79480024 00002
        31.328287               0               0      4.30979026 20001
      -366.358594               0               0     -47.5141035 11001
       1281.27264               0               0      127.404997 02001
       8.46492946               0               0      1.52132362 00201
      -212.181332               0               0     -44.8420242 00111
       86.2168045               0               0      13.9035869 10002
      -202.375577               0               0     -75.1770025 01002
       1292.40575               0               0      332.945301 00021
       152.465743      412.398418      -118.55168               0 00012
       56.8142343               0               0      15.5951865 00003
      -111.090641               0               0     -15.7177358 30001
        1301.2309               0               0      249.924995 21001
      -3377.64137               0               0     -1205.61003 12001
      -1080.57253               0               0      1650.70638 03001
      -206.758367               0               0     -8.63945412 10201
        1286.1228               0               0       51.734534 01201
        457.38899               0               0       246.32877 10111
       315.521007               0               0     -1468.88025 01111
      -2.86376084               0               0     -77.6962058 20002
      -284.532504               0               0      808.267218 11002
      -54.9686786               0               0     -1887.27393 02002
      -894.903229               0               0     -13.1721627 00202
      -58.1868148               0               0     -1758.72381 10021
       28.1001103               0               0      10443.6142 01021
       24.9869024               0               0      377.176889 00112
      -4.71048927               0               0     -174.332974 10003
     -0.949356614               0               0      893.518077 01003
       5.91096156               0               0     -2708.57078 00022
       0.10590745               0               0     -149.156349 00004
     0.0744204334               0               0               0 00101
     -0.932044457               0               0               0 00011
       2.84521581               0               0               0 10101
       -25.439373               0               0               0 01101
       13.7051555               0               0               0 10011
      -72.5425087               0               0               0 01011
       11.1885519               0               0               0 00102
       -29.857604               0               0               0 20101
       257.607594               0               0               0 11101
       222.800622               0               0               0 02101
      -5.74703998               0               0               0 00301
      -58.3774171               0               0               0 20011
      -75.7986407               0               0               0 11011
      -20.0306669               0               0               0 02011
        81.569985               0               0               0 00211
       39.9072357               0               0               0 10102
       26.1337898               0               0               0 01102
       11.1028012               0               0               0 00121
       15.8064184               0               0               0 10012
        2.5233279               0               0               0 01012
       1.49611639               0               0               0 00103
       2.94427172               0               0               0 00031
      0.196444306               0               0               0 00013
        169.57368               0               0               0 40001
      -1188.40309               0               0               0 31001
      -2564.00859               0               0               0 22001
      -796.126266               0               0               0 13001
      -170.135856               0               0               0 04001
       25.2737324               0               0               0 30101
      -302.117798               0               0               0 21101
       10.5088748               0               0               0 12101
       17.9545609               0               0               0 03101
       393.042869               0               0               0 20201
      -2654.79358               0               0               0 11201
      -675.207959               0               0               0 02201
       31.5374558               0               0               0 10301
