model	target	group_kind	group	n	raw_share	base_sum	base_share	irls_sum	irls_share	mean_robust_factor	factor_below_half	effective_n
all_core_huber_equalfoil	xptar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	53949.876782134605	0.19814024592877047	0.8687217086262827	0.01581044603453447	22804.2988206324
all_core_huber_equalfoil	xptar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	54560.308400265945	0.20038216153921157	0.8785511138062811	0.006287627911600425	157931.91486107383
all_core_huber_equalfoil	xptar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54488.46636888943	0.2001183092634696	0.8773942857286078	0.006576849489795918	24610.011519135143
all_core_huber_equalfoil	xptar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	54906.62746175096	0.20165407814227573	0.8841276768082328	0.004056708514817662	46047.27619115448
all_core_huber_equalfoil	ytar	all	all	310513	1.0	310513.0	1.0	271922.67296084383	1.0	0.8757207362037783	0.010228235210764122	190118.47782288253
all_core_huber_equalfoil	ytar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	53722.396792854815	0.19756497760152095	0.8650587381664344	0.025009668686347814	52895.95957429142
all_core_huber_equalfoil	ytar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	54539.90044898583	0.2005713604353964	0.8782224971093933	0.0082694202836454	22888.70573517675
all_core_huber_equalfoil	ytar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	55009.57602654233	0.20229859992021912	0.8857853942756396	0.0036160073562761337	158212.8816410685
all_core_huber_equalfoil	ytar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54765.905705208235	0.2014024983973822	0.8818617208491794	0.004743303571428571	24634.12550813356
all_core_huber_equalfoil	ytar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	53884.89398725264	0.1981625636454814	0.8676753306182452	0.01972841404048168	45708.42101224541
all_core_huber_equalfoil	ytar	quality	core	310513	1.0	310513.0	1.0	271922.67296084383	1.0	0.8757207362037783	0.010228235210764122	190118.47782288253
all_core_huber_equalfoil	ytar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	53722.396792854815	0.19756497760152095	0.8650587381664344	0.025009668686347814	52895.95957429142
all_core_huber_equalfoil	ytar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	54539.90044898583	0.2005713604353964	0.8782224971093933	0.0082694202836454	22888.70573517675
all_core_huber_equalfoil	ytar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	55009.57602654233	0.20229859992021912	0.8857853942756396	0.0036160073562761337	158212.8816410685
