model	pool	target	n	rms	bias	spread	width68	p95	pooled_rms_gain	macro_rms	macro_gain	improved_cells	cells	worst_cell_gain	within_hole_spread	within_hole_gain	hole_centroid_rms	same_holes_rms	equal_hole_spread	improved_holes	holes	within_hole_events
all_core_squared_full	core	ytar	77864	0.13430125052250155	-0.0007930778261144682	0.13429890885435164	0.1293753798682568	0.2669449907780521	1.1178660064459889	0.15046292352709048	-0.12910516333006772	13	25	-8.88207977910258	0.12611178858442887	0.6363387684456545	0.03958226503962256	0.13217767937753563	0.13370793355888702	863	1662	72795
all_core_huber_full	core	ytar	77864	0.13434917046648612	-0.0009149201526276618	0.13434605511940895	0.12907998250201702	0.26695049645873126	1.0825839349566269	0.1507415233438998	-0.3145059896722424	14	25	-8.404487603730715	0.12597294762958	0.7457317582487577	0.03990378851748554	0.13214195349143704	0.13410462824380137	836	1662	72795
all_supported_squared_full	core	ytar	77864	0.13457862904876877	-0.0003714777456042808	0.13457811635229047	0.12981738598277084	0.2669420138437201	0.9136402044182201	0.15072448756601978	-0.3031691290364069	12	25	-10.021739101029592	0.1257668994992344	0.908077379152783	0.04143231416404496	0.1324158210586584	0.13313389956545293	902	1662	72795
all_supported_huber_full	core	ytar	77864	0.13453769387250863	-0.00044251911693971165	0.13453696610732677	0.12953500432910414	0.26663415315042327	0.9437795930557602	0.1507916330824869	-0.3478526983967445	12	25	-8.647789749234036	0.12547789323193112	1.135785836549641	0.04196686563633119	0.1323099372732894	0.13298707842829377	930	1662	72795
all_core_squared_equalfoil	core	ytar	77864	0.13502416226151345	0.00973184227552483	0.13467299521562526	0.13000001609237263	0.26726805171266893	0.5856069607231729	0.14955878659288604	0.47257410784740106	17	25	-4.778542640891059	0.1261673410410388	0.5925689072682871	0.04226187630596783	0.1330573715893513	0.13309455464456305	959	1662	72795
all_core_huber_equalfoil	core	ytar	77864	0.13499709247937675	0.009778335844673386	0.13464248633323056	0.1298172181088554	0.2672984119947003	0.6055376599088058	0.14962619060586316	0.4277185158809038	18	25	-6.3475238981103965	0.12606081785332887	0.6764986814450147	0.042341359450415686	0.13298165481734486	0.13330283517269625	944	1662	72795
all_supported_squared_equalfoil	core	ytar	77864	0.13548890952240833	0.010769890000851238	0.13506018685364285	0.1303796740798495	0.26834031603833375	0.24342696801159525	0.1500638677239571	0.13645594329556587	17	25	-6.918306141490849	0.12592441959230297	0.7839670692403211	0.04425314021745708	0.13347396700766895	0.13305735248996747	943	1662	72795
all_supported_huber_equalfoil	core	ytar	77864	0.13541728167081157	0.010895275342193086	0.13497826917815223	0.13006063007009705	0.26798168654721616	0.29616448751872415	0.14998952774120866	0.18592724011720074	15	25	-8.11765575783905	0.12569482582249775	0.964864333642601	0.044570710679387136	0.13336317891012375	0.13284644237906393	1003	1662	72795
balanced_squared_full	core	yptar	77864	1.0291664981123816	-0.014651789396982052	1.029062197296339	1.0270298432599523	2.009033032341843	0.0	1.0693447645536924	0.0	0	25	0.0	0.9869440849038682	0.0	0.27249803195673866	1.0238719666770009	1.0080644336302484	0	1662	72795
all_core_squared_full	core	yptar	77864	1.0231500839895404	0.0012062631620975604	1.0231493729153078	1.0211799713093588	1.9926794913397137	0.5845909416868911	1.0690740388089959	0.02531697481208406	12	25	-4.053267092765944	0.983137675705832	0.38567627652451586	0.25758669363695436	1.0163220917263798	1.0071035034321627	838	1662	72795
all_core_huber_full	core	yptar	77864	1.023145953882032	0.0027439357662988684	1.0231422744475391	1.0202629111723707	1.9944279758348857	0.5849922477453418	1.0699702113591414	-0.058488789226918136	12	25	-5.069116456336387	0.9826637411031784	0.4336966871944625	0.25835103820798566	1.0160577183516881	1.0080860078073715	834	1662	72795
all_supported_squared_full	core	yptar	77864	1.0310974785688665	0.002628930846981884	1.0310941271453717	1.0312459985916602	2.0072300219193213	-0.1876256621281991	1.0742757683690263	-0.4611238562889364	12	25	-6.273106563278352	0.9765566902111319	1.052480566186087	0.30696948243170114	1.0236665630665618	1.0029288627500081	917	1662	72795
all_supported_huber_full	core	yptar	77864	1.026959158035283	0.004753495557278198	1.0269481567014591	1.026376474458111	1.9987908640855696	0.21447842318488286	1.0728635148921482	-0.32905667611551337	12	25	-6.123946173510109	0.9773639188019599	0.9706898545160603	0.28953480032952034	1.0193481399295234	1.0032396633046359	886	1662	72795
all_core_squared_equalfoil	core	yptar	77864	1.0277227499832662	-0.023768420190579773	1.0274478639010405	1.0260838262637717	2.003036256617405	0.14028324199859554	1.065653531858704	0.3451863998725546	17	25	-3.5586694437760302	0.9796855131232027	0.7354592718768371	0.28964095431875664	1.0216044180807722	1.0023901237757988	1016	1662	72795
all_core_huber_equalfoil	core	yptar	77864	1.0274907590603455	-0.02243293294680448	1.0272458437364491	1.0252852377405992	2.0000286080993357	0.1628248738284488	1.065654641192226	0.34508266031549883	18	25	-4.181911805850547	0.9793397478379338	0.7704932004000131	0.28942927738706037	1.0212128320306515	1.0028468553728915	1012	1662	72795
all_supported_squared_equalfoil	core	yptar	77864	1.0442995073171322	-0.024211282637722115	1.0440188095890999	1.0498485239060327	2.0289969175937257	-1.4704140906749652	1.0740976732482297	-0.4444692537042716	14	25	-9.135337873546767	0.9730071817476788	1.4121269248548063	0.3623477327548444	1.0382864995583525	1.0004359606856494	921	1662	72795
all_supported_huber_equalfoil	core	yptar	77864	1.0373777826240138	-0.022940689374623124	1.037124095107684	1.0413659486969926	2.015655104016637	-0.7978577350402194	1.0706534336030107	-0.12238046069870112	15	25	-6.338118646785218	0.973911880366974	1.320460270873769	0.33826850743352516	1.0309849338575419	1.0004891049156723	947	1662	72795
balanced_squared_full	shoulder	xptar	22532	4.318662700767159	-0.08208348220986841	4.317882562662606	3.678095446848087	8.76373325859299	0.0	4.5845893896704	0.0	0	25	0.0	3.9082660705102565	0.0	1.33209328750039	4.129045435025543	3.977639213034194	0	584	14964
all_core_squared_full	shoulder	xptar	22532	4.342221948940299	-0.3632700975837782	4.326999686856976	3.667945557144977	8.806424690866136	-0.5455218387153904	4.631799066069305	-1.0297471024400373	5	25	-3.6815275685836646	3.913567821197059	-0.135654804231633	1.3572512714480336	4.14223902074185	3.979871640954813	279	584	14964
all_core_huber_full	shoulder	xptar	22532	4.341000524096574	-0.36365513158230744	4.3257416121956	3.666034020450664	8.804605404685034	-0.5172393603567915	4.62824031049422	-0.9521227990923142	6	25	-3.7239539824782897	3.911796001149868	-0.09031960915473203	1.3629986453793914	4.142452566043232	3.978271965700037	289	584	14964
all_supported_squared_full	shoulder	xptar	22532	4.136230019786298	-0.2503467208156489	4.128646908607978	3.610520037637914	8.43676795833543	4.224286396537835	4.39491067495951	4.137310860123211	17	25	-4.285852916172561	3.7698326256422225	3.5420680775185898	1.2596493254972865	3.974714385787022	3.808594076870825	339	584	14964
all_supported_huber_full	shoulder	xptar	22532	4.214492869621811	-0.3017405595510349	4.203677292896651	3.62603571674122	8.600319313823508	2.4120853690852817	4.485652532898704	2.1580309240913143	19	25	-1.9529574749638234	3.8261905712681314	2.1000489158459312	1.2903247676127219	4.037904443343845	3.878982420823301	353	584	14964
all_core_squared_equalfoil	shoulder	xptar	22532	4.316904924124834	-0.10256095464923139	4.315686431439924	3.665067909308008	8.754159746096066	0.04070187380026402	4.580897620272454	0.08052562801510454	15	25	-0.811606467015058	3.901060232796727	0.1843742873060994	1.3439331374249988	4.126066797541824	3.9697208653976737	337	584	14964
all_core_huber_equalfoil	shoulder	xptar	22532	4.317120181364498	-0.10111594403353208	4.315935845932704	3.6648634303324275	8.771272060654134	0.03571752437130371	4.579108622398284	0.1195476149830399	16	25	-0.8483626892099361	3.9000878502174854	0.20925444033812468	1.35127481687016	4.12754513847172	3.969122215772079	339	584	14964
all_supported_squared_equalfoil	shoulder	xptar	22532	4.134985187803581	0.01651967407339404	4.134952188807451	3.5955769780020077	8.393759637261704	4.253110874598976	4.356832031011359	4.967890018072385	20	25	-6.4317181568869675	3.7719905994862195	3.4868524446761917	1.3059491239122172	3.9916683475533756	3.8175710486651133	350	584	14964
all_supported_huber_equalfoil	shoulder	xptar	22532	4.205898129041447	-0.03318798631645969	4.205767186785142	3.6237086483330927	8.545257732601371	2.61109930408967	4.443948473053549	3.06768839394278	23	25	-0.731993615507398	3.8260421181178885	2.1038473560637816	1.3098368427221048	4.044041399907305	3.8834229150723325	388	584	14964
balanced_squared_full	shoulder	ytar	22532	0.16721819736636348	0.006748325536809125	0.1670819727945099	0.1658206150089459	0.3232695600053179	0.0	0.17782950038787373	0.0	0	25	0.0	0.15091205458302293	0.0	0.046687618812320586	0.15796892722568523	0.1550519187118688	0	584	14964
all_core_squared_full	shoulder	ytar	22532	0.16593624672608437	-0.0028099817834330624	0.16591245275721989	0.16486476976387815	0.3202981362051897	0.7666334528594665	0.1780854936828075	-0.14395434636851334	11	25	-6.475491214026752	0.14918474652412145	1.1445792476115435	0.042343603206924284	0.1550776235567589	0.1537242988257456	353	584	14964
all_core_huber_full	shoulder	ytar	22532	0.1665187414688176	-0.002714158706107014	0.1664966203947605	0.16480890485223573	0.3214397126665609	0.41828934204656276	0.17899450775096282	-0.6551260395761371	11	25	-8.062806332702976	0.1488800753087019	1.34646584723499	0.04304437467642761	0.15497772425484066	0.15391159742251295	354	584	14964
all_supported_squared_full	shoulder	ytar	22532	0.16428196267506323	-0.001791285905542001	0.16427219653725786	0.1646637359967999	0.3155874326603732	1.7559301185786413	0.17627965334796064	0.871535395720402	13	25	-7.384714625546929	0.1476612946097851	2.1540757510855046	0.04216766657491826	0.15356422119169305	0.15188979435002845	383	584	14964
all_supported_huber_full	shoulder	ytar	22532	0.16466371839357272	-0.0014636628860802763	0.1646572131616278	0.16391177911011218	0.31700386404152797	1.5276321674453142	0.1768599551168308	0.5452105915656147	14	25	-6.289232019807667	0.1472436428358664	2.4308275155967562	0.043024808321224774	0.15340086207924103	0.15176664751140834	391	584	14964
all_core_squared_equalfoil	shoulder	ytar	22532	0.16635426108863763	0.0073806456706659584	0.1661904517468759	0.16479467835015624	0.3199975123054842	0.5166520697702737	0.17670266194215578	0.6336622682176607	18	25	-2.9988546010540906	0.1501773621467743	0.4868348246126697	0.044542156754964854	0.1566436842957521	0.1545234890598355	354	584	14964
all_core_huber_equalfoil	shoulder	ytar	22532	0.1666697192464151	0.007698195051609503	0.16649184096113004	0.16423559951228434	0.32059336137023964	0.328001454738025	0.17718057339126705	0.3649152672595135	16	25	-4.692673201697772	0.14995053836624606	0.6371367876698675	0.044968931440288476	0.1565482952676534	0.15453451322959713	357	584	14964
all_supported_squared_equalfoil	shoulder	ytar	22532	0.1646396882458815	0.009308931168111656	0.1643763083482787	0.16475871407122133	0.31719813612746905	1.5420027013164472	0.17506857308407217	1.5525699041944896	22	25	-4.548326640853162	0.14798957189323517	1.9365468834565358	0.044933056069223695	0.1546605732462641	0.15192438382226722	390	584	14964
all_supported_huber_equalfoil	shoulder	ytar	22532	0.1649850791581771	0.009801377114173926	0.16469368339889573	0.1641421110919384	0.31753895847535374	1.335451669350185	0.1754780127161423	1.3223270979238366	22	25	-6.711043356401913	0.14775623853957393	2.0911623343600083	0.045622189079755515	0.15463922582511996	0.15183920300638878	410	584	14964
balanced_squared_full	shoulder	yptar	22532	1.6756876691392388	-0.012520723411144205	1.6756408911191434	1.6628936442204094	3.045780953005187	0.0	1.681744558303477	0.0	0	25	0.0	1.6104299612124895	0.0	0.4097959106850969	1.6617512895692568	1.631063896740802	0	584	14964
all_core_squared_full	shoulder	yptar	22532	1.6738682806610927	-0.000705684765265187	1.6738681319065534	1.65629144015293	3.053435627342311	0.1085756320615916	1.6828309888406492	-0.06460140048070162	13	25	-7.1873603694769805	1.5976711619563102	0.7922604250714005	0.39456040478837295	1.6456703967604178	1.62858478131718	361	584	14964
all_core_huber_full	shoulder	yptar	22532	1.675342393174406	0.000101093715808121	1.6753423901243014	1.6562173837871204	3.04807008754731	0.02060503106824374	1.6858446966078486	-0.24380268002817118	12	25	-12.126725642025749	1.5958770996607037	0.9036631149627272	0.3954366796932992	1.6441392534905066	1.6283734552260096	363	584	14964
all_supported_squared_full	shoulder	yptar	22532	1.6236743843339192	-0.006087649490442825	1.6236629720683455	1.6428054308205406	3.018131892648779	3.103996392838393	1.6346582802654797	2.7998472066112945	19	25	-2.762302442321185	1.5407278875786665	4.3281654783263175	0.40939445453506035	1.594191407255314	1.5499865257573777	381	584	14964
all_supported_huber_full	shoulder	yptar	22532	1.6402404452467738	-0.0027365090217026313	1.6402381625061981	1.6493140387289742	3.027812193866325	2.115383704570284	1.6519910521147343	1.7692048439721275	17	25	-6.365325163900981	1.5573407827327261	3.296584127122959	0.4020299891020405	1.6083962278306818	1.5775706717469962	380	584	14964
