model	pool	target	rms_gain_percent	low95	high95	clusters	replicates
all_supported_squared_equalfoil	shoulder	xptar	4.253110874599142	3.220240566413221	5.196437508553551	2459	500
all_supported_squared_equalfoil	shoulder	ytar	1.5420027013163473	1.1731544966684513	1.9246880147575265	2459	500
all_supported_squared_equalfoil	shoulder	yptar	3.5776842218051663	2.4338643913684725	4.87174137486757	2459	500
all_supported_huber_equalfoil	shoulder	xptar	2.6110993040893815	2.1129242305607767	3.0649013274164796	2459	500
all_supported_huber_equalfoil	shoulder	ytar	1.3354516693505625	0.9656900687800233	1.724186188159335	2459	500
all_supported_huber_equalfoil	shoulder	yptar	3.218615971288763	2.1614719331080496	4.44245942549618	2459	500
balanced_squared_full	supported	xptar	0.0	0.0	0.0	2593	500
balanced_squared_full	supported	ytar	0.0	0.0	0.0	2593	500
balanced_squared_full	supported	yptar	0.0	0.0	0.0	2593	500
all_core_squared_full	supported	xptar	0.387399260296728	0.16838085870912733	0.5984965366189904	2593	500
all_core_squared_full	supported	ytar	1.0106439080206808	0.7479554404713445	1.2476479931671474	2593	500
all_core_squared_full	supported	yptar	0.3776658326350213	-0.12539445294660387	0.7761048769235928	2593	500
all_core_huber_full	supported	xptar	0.40704995436460223	0.1831787361777909	0.6257164001940099	2593	500
all_core_huber_full	supported	ytar	0.879570194144419	0.576083233916718	1.1465407708827453	2593	500
all_core_huber_full	supported	yptar	0.3395902929180461	-0.28180777954401987	0.7981277724844622	2593	500
all_supported_squared_full	supported	xptar	2.6308693103197833	1.8080601221617023	3.517902293700608	2593	500
all_supported_squared_full	supported	ytar	1.169691867360767	0.9095658953763841	1.432241009732822	2593	500
all_supported_squared_full	supported	yptar	1.227844575113013	0.7405136951470862	1.7508960189671732	2593	500
all_supported_huber_full	supported	xptar	2.1589983922223333	1.6919888778572036	2.6504329394111976	2593	500
all_supported_huber_full	supported	ytar	1.121429642401528	0.8536694952580542	1.3943923127378757	2593	500
all_supported_huber_full	supported	yptar	1.0352064005890838	0.4854869492731209	1.5385499007584698	2593	500
all_core_squared_equalfoil	supported	xptar	0.12406967550973036	0.009802336796616856	0.23473569391228855	2593	500
all_core_squared_equalfoil	supported	ytar	0.5645776981317185	0.39148262325908983	0.7249595101770334	2593	500
all_core_squared_equalfoil	supported	yptar	0.6967682288406163	0.3508292515565109	1.0475406963279459	2593	500
all_core_huber_equalfoil	supported	xptar	0.11336691137752153	-0.035325366775808	0.24708728140513855	2593	500
all_core_huber_equalfoil	supported	ytar	0.5208354275395677	0.32399956097992455	0.7118019231367004	2593	500
all_core_huber_equalfoil	supported	yptar	0.7045331322321657	0.33684613024958565	1.0723969873086272	2593	500
all_supported_squared_equalfoil	supported	xptar	1.2415700340931202	0.4911751717677898	2.000982563737122	2593	500
all_supported_squared_equalfoil	supported	ytar	0.6375614572505239	0.42983378269542405	0.863433613160511	2593	500
all_supported_squared_equalfoil	supported	yptar	0.6895214204187372	0.04922573554125983	1.3681678299695437	2593	500
all_supported_huber_equalfoil	supported	xptar	1.2418124181164503	0.8691857583910243	1.6407210125159206	2593	500
all_supported_huber_equalfoil	supported	ytar	0.6118892486180805	0.40759930477939743	0.837634208965507	2593	500
all_supported_huber_equalfoil	supported	yptar	0.9257545541828893	0.38249572357686	1.5202257638949295	2593	500
