target	term	svd	start	beam
yptar	02200	True	True	False
yptar	10300	True	False	False
yptar	01300	True	False	False
yptar	00400	True	False	False
yptar	30010	True	True	True
yptar	21010	True	False	True
yptar	12010	True	False	False
yptar	03010	True	False	True
yptar	20110	True	False	False
yptar	11110	True	False	False
yptar	02110	True	True	True
yptar	10210	True	False	False
yptar	01210	True	True	True
yptar	00310	True	False	False
yptar	20020	True	False	False
yptar	11020	True	False	False
yptar	02020	True	True	True
yptar	10120	True	True	True
yptar	01120	True	False	False
yptar	00220	True	True	True
yptar	10030	True	True	True
yptar	01030	True	False	False
yptar	00130	True	False	False
yptar	00040	True	False	False
yptar	50000	True	False	True
yptar	41000	True	False	False
yptar	32000	True	False	False
yptar	23000	True	False	False
yptar	14000	True	False	False
yptar	05000	True	False	False
yptar	40100	True	True	True
yptar	31100	True	False	False
yptar	22100	True	False	False
yptar	13100	True	False	False
yptar	04100	True	True	True
yptar	30200	True	True	True
yptar	21200	True	False	False
yptar	12200	True	False	False
yptar	03200	True	False	False
yptar	20300	True	False	False
yptar	11300	True	False	False
yptar	02300	True	True	True
yptar	10400	True	False	False
yptar	01400	True	False	False
yptar	00500	True	True	True
yptar	40010	True	True	False
yptar	31010	True	False	False
yptar	22010	True	False	False
yptar	13010	True	False	False
yptar	04010	True	False	False
yptar	30110	True	False	False
yptar	21110	True	False	False
yptar	12110	True	False	False
yptar	03110	True	False	False
yptar	20210	True	False	False
yptar	11210	True	False	False
yptar	02210	True	False	False
yptar	10310	True	False	False
yptar	01310	True	True	True
yptar	00410	True	False	False
yptar	30020	True	False	False
yptar	21020	True	False	False
yptar	12020	True	False	False
yptar	03020	True	False	False
yptar	20120	True	False	False
yptar	11120	True	False	False
yptar	02120	True	False	False
yptar	10220	True	False	False
yptar	01220	True	False	False
yptar	00320	True	False	False
yptar	20030	True	False	True
yptar	11030	True	False	False
yptar	02030	True	False	False
yptar	10130	True	False	False
yptar	01130	True	False	False
yptar	00230	True	False	False
yptar	10040	True	False	False
yptar	01040	True	False	False
yptar	00140	True	True	True
yptar	00050	True	False	False
yptar	60000	True	True	True
yptar	51000	True	False	False
yptar	42000	True	False	False
yptar	33000	True	False	True
yptar	24000	True	True	False
yptar	15000	True	False	False
yptar	06000	True	False	False
yptar	50100	True	True	True
yptar	41100	True	False	False
yptar	32100	True	False	False
yptar	23100	True	False	False
yptar	14100	True	False	False
yptar	05100	True	True	True
yptar	40200	True	True	False
yptar	31200	True	False	False
yptar	22200	True	False	False
yptar	13200	True	False	False
yptar	04200	True	False	False
yptar	30300	True	False	False
yptar	21300	True	False	False
yptar	12300	True	False	False
yptar	03300	True	True	True
yptar	20400	True	False	True
yptar	11400	True	False	False
yptar	02400	True	True	True
yptar	10500	True	True	True
yptar	01500	True	False	False
yptar	00600	True	False	False
yptar	50010	True	False	False
yptar	41010	True	False	False
yptar	32010	True	False	False
yptar	23010	True	True	True
yptar	14010	True	False	False
yptar	05010	True	False	False
yptar	40110	True	False	False
yptar	31110	True	False	False
yptar	22110	True	False	False
yptar	13110	True	False	False
yptar	04110	True	False	False
yptar	30210	True	True	True
yptar	21210	True	True	True
yptar	12210	True	False	False
yptar	03210	True	False	False
yptar	20310	True	False	True
yptar	11310	True	False	False
yptar	02310	True	False	False
yptar	10410	True	False	False
yptar	01410	True	False	False
yptar	00510	True	True	False
yptar	40020	True	True	False
yptar	31020	True	True	True
yptar	22020	True	False	False
yptar	13020	True	False	False
yptar	04020	True	True	True
yptar	30120	True	False	False
yptar	21120	True	False	False
yptar	12120	True	False	False
yptar	03120	True	False	False
yptar	20220	True	False	False
yptar	11220	True	False	False
yptar	02220	True	False	False
yptar	10320	True	False	False
