pool	level	zfoil	ndel	rungroup	xscol	yscol	target	alpha	l1	model	n	median	p90	mse	cell_mse
validation	foil_delta	-8.0	4				ytar	0.0001	0.1	refit_svd	2741	0.08858525275997585	0.20878997405410007	0.016626785550176174	0.016626785550176174
validation	foil_delta	-8.0	4				ytar	3e-05	0.1	full_svd	2741	0.08764354855460565	0.20888642535665908	0.01633901590561298	0.01633901590561298
validation	foil_delta	-8.0	4				ytar	3e-05	0.1	refit_svd	2741	0.08877928421834533	0.21092308122243747	0.016443853191359537	0.016443853191359537
validation	foil_delta	-8.0	4				ytar	0.0001	0.5	full_svd	2741	0.08764354855460565	0.20888642535665908	0.01633901590561298	0.01633901590561298
validation	foil_delta	-8.0	4				ytar	0.0001	0.5	refit_svd	2741	0.09148169156968922	0.21814355246586384	0.01742635978142941	0.01742635978142941
validation	foil_delta	-8.0	4				ytar	3e-05	0.5	full_svd	2741	0.08764354855460565	0.20888642535665908	0.01633901590561298	0.01633901590561298
validation	foil_delta	-8.0	4				ytar	3e-05	0.5	refit_svd	2741	0.0902766882207185	0.21090808116282916	0.017041249281205907	0.017041249281205907
validation	foil_delta	-8.0	4				yptar	0.0001	0.1	full_svd	2741	0.5577190703045399	1.304626862497717	0.6240162221801779	0.6240162221801779
validation	foil_delta	-8.0	4				yptar	0.0001	0.1	refit_svd	2741	0.5641722778517745	1.3209992824348669	0.6259690384119894	0.6259690384119894
validation	foil_delta	-8.0	4				yptar	3e-05	0.1	full_svd	2741	0.5577190703045399	1.304626862497717	0.6240162221801779	0.6240162221801779
validation	foil_delta	-8.0	4				yptar	3e-05	0.1	refit_svd	2741	0.5498768467377732	1.3196402908904301	0.6293713248248065	0.6293713248248065
validation	foil_delta	-8.0	4				yptar	0.0001	0.5	full_svd	2741	0.5577190703045399	1.304626862497717	0.6240162221801779	0.6240162221801779
validation	foil_delta	-8.0	4				yptar	0.0001	0.5	refit_svd	2741	0.5594422727947767	1.3294993879034134	0.6343780391678608	0.6343780391678608
validation	foil_delta	-8.0	4				yptar	3e-05	0.5	full_svd	2741	0.5577190703045399	1.304626862497717	0.6240162221801779	0.6240162221801779
validation	foil_delta	-8.0	4				yptar	3e-05	0.5	refit_svd	2741	0.5558262855208141	1.3076652055469853	0.6209913861337344	0.6209913861337344
validation	foil_delta	-3.0	0				xptar	0.0001	0.1	full_svd	1495	1.8371887723680866	4.428150758431579	7.424931763978849	7.424931763978849
validation	foil_delta	-3.0	0				xptar	0.0001	0.1	refit_svd	1495	1.813711426050503	4.463853913866777	7.837741914590399	7.837741914590399
validation	foil_delta	-3.0	0				xptar	3e-05	0.1	full_svd	1495	1.8371887723680866	4.428150758431579	7.424931763978849	7.424931763978849
validation	foil_delta	-3.0	0				xptar	3e-05	0.1	refit_svd	1495	1.848461717158455	4.460262589739888	7.50119278225827	7.50119278225827
validation	foil_delta	-3.0	0				xptar	0.0001	0.5	full_svd	1495	1.8371887723680866	4.428150758431579	7.424931763978849	7.424931763978849
validation	foil_delta	-3.0	0				xptar	0.0001	0.5	refit_svd	1495	1.9763585787852116	4.937782142324017	9.044745291846485	9.044745291846485
validation	foil_delta	-3.0	0				xptar	3e-05	0.5	full_svd	1495	1.8371887723680866	4.428150758431579	7.424931763978849	7.424931763978849
validation	foil_delta	-3.0	0				xptar	3e-05	0.5	refit_svd	1495	1.958808653802523	4.705937416288018	8.485416167324912	8.485416167324912
validation	foil_delta	-3.0	0				ytar	0.0001	0.1	full_svd	1495	0.1323579938589654	0.3330645527289352	0.038898499041147276	0.038898499041147276
validation	foil_delta	-3.0	0				ytar	0.0001	0.1	refit_svd	1495	0.13159648002514635	0.3301910338247397	0.03808251307323153	0.03808251307323153
validation	foil_delta	-3.0	0				ytar	3e-05	0.1	full_svd	1495	0.1323579938589654	0.3330645527289352	0.038898499041147276	0.038898499041147276
validation	foil_delta	-3.0	0				ytar	3e-05	0.1	refit_svd	1495	0.13232000549012468	0.332025391915683	0.038437162276426934	0.038437162276426934
validation	foil_delta	-3.0	0				ytar	0.0001	0.5	full_svd	1495	0.1323579938589654	0.3330645527289352	0.038898499041147276	0.038898499041147276
validation	foil_delta	-3.0	0				ytar	0.0001	0.5	refit_svd	1495	0.13052898451677392	0.32911973557681007	0.037463088019582154	0.037463088019582154
