target	fold	alpha	l1	budget	iterations	seconds	converged	dual_gap	gap_limit	gap_ratio	objective	kkt_max	active	validation_mse	svd_mse	mse_ratio	validation_rms	prediction_change_rms
ytar	0	3e-05	0.5	20000	20000	0.3812750899232924	False	0.0038157010576630066	9.999999999999995e-07	3815.701057663008	0.009154321807071032	3.334523160616452e-05	155	2.4450647102846456e-06	2.3048727613212613e-06	1.060824159717615	0.15636702690416052	
ytar	0	3e-05	0.5	100000	100000	1.2878940240480006	False	0.0004291398322253199	9.999999999999995e-07	429.1398322253201	0.009116899649541597	3.479844132036494e-06	136	2.433364533780288e-06	2.3048727613212613e-06	1.0557478810176788	0.15599245282321475	0.007648827078838365
ytar	0	3e-05	0.5	300000	300000	3.4811071157455444	False	6.2236960177239265e-06	9.999999999999995e-07	6.223696017723929	0.009116382754581272	1.325423481173131e-07	132	2.4339237501247757e-06	2.3048727613212613e-06	1.0559905045385396	0.15601037626147743	0.0009124008473526772
ytar	0	3e-05	0.5	1000000	421450	4.8514665476977825	True	9.999875129223354e-07	9.999999999999995e-07	0.9999875129223359	0.009116381034330934	2.174099320686417e-08	133	2.4339887391460834e-06	2.3048727613212613e-06	1.0560187008981818	0.15601245909048683	5.0186317596854506e-05
yptar	0	0.0001	0.1	20000	20000	0.30314692482352257	False	0.00025700136325096764	9.999999999999904e-07	257.0013632509701	0.0032917971895439053	5.840537949428141e-06	136	1.216986175723059e-06	1.1850733542913084e-06	1.0269289840297142	1.1031709639593759	
yptar	0	0.0001	0.1	100000	100000	1.0801843875087798	False	7.733702627216007e-06	9.999999999999904e-07	7.733702627216082	0.0032911643243898055	4.193245768489834e-07	129	1.2170969571389213e-06	1.1850733542913084e-06	1.0270224646699304	1.103221173264419	0.009101500076434257
yptar	0	0.0001	0.1	300000	155579	1.6512709991075099	True	9.999893473372923e-07	9.999999999999904e-07	0.9999893473373018	0.003291161836697032	8.246793914156749e-08	128	1.2171355009405807e-06	1.1850733542913084e-06	1.027054989071496	1.10323864188152	0.0005854719639598573
yptar	0	3e-05	0.1	20000	20000	0.35399526404216886	False	0.001173481503973359	9.999999999999904e-07	1173.4815039733703	0.0029887401814782783	7.809737587467892e-06	164	1.198106537559084e-06	1.1850733542913084e-06	1.0109977861037722	1.094580530412945	
yptar	0	3e-05	0.1	100000	100000	1.3082928690128028	False	0.00025587874304573667	9.999999999999904e-07	255.87874304573913	0.0029869629804737427	2.0345207047448523e-06	147	1.197375407256773e-06	1.1850733542913084e-06	1.0103808366975067	1.0942465020537069	0.020060742098253898
yptar	0	3e-05	0.1	300000	300000	3.584570142906159	False	2.2222496370805168e-05	9.999999999999904e-07	22.22249637080538	0.002986822816865824	2.62351077634075e-07	144	1.1975663058232356e-06	1.1850733542913084e-06	1.0105419225625896	1.0943337268965236	0.004051343972941002
yptar	0	3e-05	0.1	1000000	508963	5.913083087652922	True	9.99971598314199e-07	9.999999999999904e-07	0.9999715983142087	0.0029868203595337225	3.930729472977032e-08	144	1.1975610174382122e-06	1.1850733542913084e-06	1.0105374600666568	1.0943313106359573	0.00046558944824860846
yptar	0	0.0001	0.5	20000	20000	0.2248683120124042	False	4.393585493910683e-05	9.999999999999904e-07	43.93585493910725	0.0035117057996506378	3.894739877049039e-06	72	1.2397811395210149e-06	1.1850733542913084e-06	1.0461640497034232	1.1134545969733185	
yptar	0	0.0001	0.5	100000	32968	0.41490708524361253	True	9.998600275262062e-07	9.999999999999904e-07	0.9998600275262157	0.0035116532914398805	1.226268052075807e-07	74	1.2397086420529681e-06	1.1850733542913084e-06	1.0461028741924017	1.1134220413001388	0.004289460955782598
yptar	0	3e-05	0.5	20000	20000	0.26433529797941446	False	0.000310058795459792	9.999999999999904e-07	310.05879545979496	0.00307583736972272	8.301940944809347e-06	102	1.205888529772375e-06	1.1850733542913084e-06	1.0175644616476205	1.0981295596478473	
yptar	0	3e-05	0.5	100000	75189	0.7742421240545809	True	9.998373716864472e-07	9.999999999999904e-07	0.9998373716864568	0.0030753000314590775	9.014962440853988e-08	97	1.205428448504484e-06	1.1850733542913084e-06	1.0171762314454773	1.0979200556071849	0.011925748567942327
