target	alpha	l1	fold	model	terms	rank	condition	n	median	p90	mse	cell_mse
yptar	3e-05	0.5	1	full_svd	210	209	326283.42297849985	22863	0.7291397227613371	1.7844860839570023	1.1767660333656624	1.177425312987375
yptar	3e-05	0.5	1	refit_svd	94	93	1983.9417286159266	22863	0.7365612808013468	1.7994769021746562	1.193998285267478	1.1942966575740805
xptar	0.0001	0.1	2	full_svd	210	209	324472.504253172	22857	1.0478072806948333	2.5869457126246167	2.619800477785122	2.735906832824025
xptar	0.0001	0.1	2	refit_svd	128	127	191687.71888468077	22857	1.0723582705333758	2.649722754571675	2.7277606389136495	2.8504895545595077
xptar	3e-05	0.1	2	full_svd	210	209	324472.504253172	22857	1.0478072806948333	2.5869457126246167	2.619800477785122	2.735906832824025
xptar	3e-05	0.1	2	refit_svd	153	152	253977.7441152192	22857	1.0564586859700618	2.605077474622675	2.6473586700221854	2.764804177631431
xptar	0.0001	0.5	2	full_svd	210	209	324472.504253172	22857	1.0478072806948333	2.5869457126246167	2.619800477785122	2.735906832824025
xptar	0.0001	0.5	2	refit_svd	77	76	1656.831480946903	22857	1.1569795004104586	2.970606734153991	3.5343052269885065	3.6818011789569156
xptar	3e-05	0.5	2	full_svd	210	209	324472.504253172	22857	1.0478072806948333	2.5869457126246167	2.619800477785122	2.735906832824025
xptar	3e-05	0.5	2	refit_svd	95	94	3304.6716586758826	22857	1.0922014466724361	2.731110597281547	2.909987562096607	3.047895850914283
ytar	0.0001	0.1	2	full_svd	210	209	324472.504253172	22857	0.09497559501674621	0.24172782880987773	0.02197825166424005	0.022701163605208317
ytar	0.0001	0.1	2	refit_svd	168	167	80232.40370688024	22857	0.09571494395591065	0.2435659651611034	0.02228768356182586	0.023004950544650862
ytar	3e-05	0.1	2	full_svd	210	209	324472.504253172	22857	0.09497559501674621	0.24172782880987773	0.02197825166424005	0.022701163605208317
ytar	3e-05	0.1	2	refit_svd	174	173	125516.76240062636	22857	0.09579090152779315	0.24367318261088675	0.022314579416459417	0.023039089763764918
ytar	0.0001	0.5	2	full_svd	210	209	324472.504253172	22857	0.09497559501674621	0.24172782880987773	0.02197825166424005	0.022701163605208317
ytar	0.0001	0.5	2	refit_svd	113	112	14307.072274739367	22857	0.09672706145067252	0.24686336579096607	0.02286556523133161	0.023573942862017208
ytar	3e-05	0.5	2	full_svd	210	209	324472.504253172	22857	0.09497559501674621	0.24172782880987773	0.02197825166424005	0.022701163605208317
ytar	3e-05	0.5	2	refit_svd	126	125	5893.576846242418	22857	0.09560226863080772	0.24604438259247538	0.022663778998738494	0.023383384827307764
yptar	0.0001	0.1	2	full_svd	210	209	324472.504253172	22857	0.7258934263185014	1.7783967651058845	1.1771497736903542	1.1799041741376317
yptar	0.0001	0.1	2	refit_svd	123	122	10267.697618596894	22857	0.7313557019199869	1.7819477267076662	1.1863673533698038	1.1888844192627532
yptar	3e-05	0.1	2	full_svd	210	209	324472.504253172	22857	0.7258934263185014	1.7783967651058845	1.1771497736903542	1.1799041741376317
yptar	3e-05	0.1	2	refit_svd	142	141	32417.424419466213	22857	0.7302548620507885	1.7801180809198833	1.1835064738694587	1.1855815556087326
yptar	0.0001	0.5	2	full_svd	210	209	324472.504253172	22857	0.7258934263185014	1.7783967651058845	1.1771497736903542	1.1799041741376317
yptar	0.0001	0.5	2	refit_svd	74	73	1455.0474923039912	22857	0.7337146529789035	1.8025041256231005	1.1996603619142339	1.2023122522716836
yptar	3e-05	0.5	2	full_svd	210	209	324472.504253172	22857	0.7258934263185014	1.7783967651058845	1.1771497736903542	1.1799041741376317
yptar	3e-05	0.5	2	refit_svd	95	94	3868.7772848000127	22857	0.7277920773891642	1.7915293320186148	1.1915125845943852	1.1935337664440477
