pool	subset	model	target	cell_mse	n	bias	spread	rms	median	p90
protected_noncore	outside_gmm	old	ytar	0.035902582242091106	17608	0.026312712502984805	0.1697489161338407	0.1717761722937102	0.1163835341231213	0.273366756354077
protected_noncore	outside_gmm	gmm	ytar	0.032963562222882034	17608	0.002856475952228446	0.16556816281915626	0.16559280175833818	0.11719795331140324	0.2686689284779083
protected_noncore	outside_gmm	core	ytar	0.03293169746495881	17608	0.00725113506039368	0.16687743059173152	0.1670348939609992	0.11555503877968853	0.2711186746509783
protected_noncore	outside_gmm	enet	ytar	0.03326063461299625	17608	0.004978580099544379	0.16664077096050903	0.1667151247071495	0.1164876197564401	0.2708360440211325
protected_noncore	outside_gmm	beam	ytar	0.03303456786254435	17608	0.006980910945830222	0.16626520302189404	0.16641169085597698	0.11657024936354607	0.27057517956269567
protected_noncore	outside_gmm	old	yptar	3.366301296091361	17608	-0.0826982304520465	1.7441237506527323	1.74608323252669	1.2262940731233996	2.675965332938282
protected_noncore	outside_gmm	gmm	yptar	3.2589834246554843	17608	0.009591185524145068	1.7227768970074828	1.7228035952198641	1.2110598368381176	2.647077539215953
protected_noncore	outside_gmm	core	yptar	3.303396482295363	17608	-0.004846068455694177	1.7411373896005062	1.741144133564003	1.2137729739330507	2.665837347318142
protected_noncore	outside_gmm	enet	yptar	3.327651857580215	17608	-0.00675860963775183	1.7391552374697137	1.7391683698890603	1.214211612954876	2.6585283076536332
protected_noncore	outside_gmm	beam	yptar	3.3160114804721474	17608	-0.004518291475487487	1.737732342001626	1.7377382160142285	1.2182966421069281	2.658218983044275
protected_noncore	outside_gmm	old	ztar	0.7823906974094803	17608	0.12309752444939909	0.8015886486846794	0.8109854266419964	0.550191034491271	1.2952015436631374
protected_noncore	outside_gmm	gmm	ztar	0.7195091776555281	17608	0.013617837074516283	0.7826658900758208	0.7827843515137263	0.5512119416560455	1.2740971616075178
protected_noncore	outside_gmm	core	ztar	0.7230083458747402	17608	0.034613902955683944	0.7917095103366721	0.7924658169507116	0.5430908222808536	1.293473090725452
protected_noncore	outside_gmm	enet	ztar	0.7272056824750253	17608	0.024281820044574128	0.7884913758293395	0.7888651700651523	0.5475096540045382	1.2876011288279978
protected_noncore	outside_gmm	beam	ztar	0.7241039104070489	17608	0.03381292129300617	0.7868131991470442	0.7875394110762796	0.5457202499203975	1.2809635997726794
protected_unsupported	all	old	xptar	33.670798609824075	638	-1.2153976002689397	5.78126199964377	5.907637568035516	2.143907126113233	8.660083225266195
protected_unsupported	all	gmm	xptar	31.792265311520737	638	-0.45373531248523424	5.7425961892972754	5.760493618356648	1.9485686409053073	8.536960962028733
protected_unsupported	all	core	xptar	54.47372505370058	638	-0.5002524344793279	8.332434863543114	8.347438125160991	1.7737352353600686	8.573103268045788
protected_unsupported	all	enet	xptar	34.79311872326508	638	0.09124410939280472	6.167777109822966	6.16845199089326	1.8755907567896812	8.767418223169958
protected_unsupported	all	beam	xptar	31.48626459290334	638	-0.08157362009174197	5.947779231984373	5.948338595601252	1.793708755532737	8.808958560637677
protected_unsupported	all	old	ytar	0.04548185601146686	638	0.053210340979668085	0.2376096837877493	0.243494768356297	0.13865292449893868	0.407497072585882
protected_unsupported	all	gmm	ytar	0.03846965451995539	638	0.003351186369628643	0.20735773810754968	0.20738481623099397	0.13289285309351972	0.3397704545507631
protected_unsupported	all	core	ytar	0.7319083437277117	638	0.052585687687768015	1.0333568777547948	1.0346940085613394	0.12006213731568025	0.37563113554143596
protected_unsupported	all	enet	ytar	0.042667564391485294	638	0.006627250806100474	0.22547663156796455	0.22557400523216897	0.1255594129156928	0.3556457600655578
protected_unsupported	all	beam	ytar	0.04509089720041787	638	0.01019681724704227	0.23090264756910758	0.231127687083121	0.12383671794891529	0.3839210425484626
protected_unsupported	all	old	yptar	6.453730914711576	638	-0.5385238061593605	2.6862245892355165	2.7396734173280373	1.2575045070290183	3.879414822591791
protected_unsupported	all	gmm	yptar	5.218973384482075	638	-0.024152825959153627	2.303542929813675	2.303669548458802	1.0441063482914554	3.553867438804957
protected_unsupported	all	core	yptar	34.1171275421574	638	-0.5246666556991252	6.931334062370956	6.951162995052436	1.0415595404239486	3.534202348009192
protected_unsupported	all	enet	yptar	6.28505274855501	638	-0.1405386746021413	2.6281492287700408	2.6319041562609167	1.0386792314960036	3.505161062668464
protected_unsupported	all	beam	yptar	5.392034304525887	638	-0.1469902334503	2.371896937086751	2.376447182011686	0.9965320750394274	3.5100825926453645
protected_unsupported	all	old	ztar	0.7784694800755375	638	0.22591518219546872	1.0009506876894787	1.0261286219243921	0.5757378375208844	1.708946684341095
protected_unsupported	all	gmm	ztar	0.6641828925438001	638	0.017767584341904542	0.8732638585758536	0.873444591115049	0.5488331530491963	1.4565842586833913
protected_unsupported	all	core	ztar	4.776840236708258	638	0.15033233032782023	2.5895503889288802	2.5939103736142286	0.481390012020368	1.5763443335581375
protected_unsupported	all	enet	ztar	0.767566533370438	638	0.03251725966012329	0.9628276765096487	0.9633766173354907	0.5144399413515663	1.514407677117145
protected_unsupported	all	beam	ztar	0.846953845241186	638	0.05305163025920571	1.0068170052875636	1.0082137459930693	0.5030639029768105	1.5894095311852836
protected_unsupported	outside_gmm	old	xptar	36.62546378908979	405	-1.4829191510128776	6.371554207421483	6.541846239904387	2.7104081728402987	9.879911869061573
protected_unsupported	outside_gmm	gmm	xptar	35.15102558329132	405	-0.7179667269022612	6.405421302689443	6.445533204156695	2.4281292386602873	9.611689002571362
protected_unsupported	outside_gmm	core	xptar	34.91111904376907	405	-0.48549789512717606	6.470350951377097	6.488539869659384	2.345083714541389	9.733624964397299
protected_unsupported	outside_gmm	enet	xptar	37.61335526308156	405	-0.11722406485749837	6.769259978986609	6.770274894307579	2.484669408097204	10.107707269298174
protected_unsupported	outside_gmm	beam	xptar	31.143983542839777	405	-0.36161070947343044	6.116293907515249	6.126974250665171	2.389175573607634	9.413016461673632
protected_unsupported	outside_gmm	old	ytar	0.04811689672622455	405	0.03908346790401679	0.24629896660344822	0.24938062958724524	0.15114853185703384	0.4236896585114659
protected_unsupported	outside_gmm	gmm	ytar	0.0426155469634659	405	-0.00491612067232557	0.22097959902126318	0.22103427658637725	0.14627204055614254	0.3759849095068423
