pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	xptar	core	old	starting	cell_mse	2.57559581193473	3.373790993563093	-0.7981951816283632	-23.658702721989943
protected_core	all	xptar	core	gmm	previous	bias	0.2802576998907784	0.20491963289035175	0.07533806700042667	
protected_core	all	xptar	core	gmm	previous	spread	1.461999103391435	1.5229934120631103	-0.060994308671675324	-4.004896422306247
protected_core	all	xptar	core	gmm	previous	rms	1.4886187412045535	1.5367176022716573	-0.048098861067103815	-3.129973978042655
protected_core	all	xptar	core	gmm	previous	median	1.0085014611453027	1.0223334919376792	-0.013832030792376493	-1.3529861734413062
protected_core	all	xptar	core	gmm	previous	p90	2.415428616537321	2.465888852428189	-0.0504602358908679	-2.0463305084160277
protected_core	all	xptar	core	gmm	previous	cell_mse	2.57559581193473	2.898716816912098	-0.32312100497736784	-11.14703592610945
protected_core	all	xptar	enet	old	starting	bias	0.28751865878279376	-0.3148324386558188	0.6023510974386126	
protected_core	all	xptar	enet	old	starting	spread	1.5269675305938544	1.53898710121926	-0.012019570625405596	-0.7810052869113182
protected_core	all	xptar	enet	old	starting	rms	1.5538007654252686	1.5708598798585536	-0.017059114433285005	-1.0859730172000481
protected_core	all	xptar	enet	old	starting	median	1.0460635350330283	1.02912935086958	0.016934184163448274	1.645486463789947
protected_core	all	xptar	enet	old	starting	p90	2.5227819829875355	2.4961156636191446	0.026666319368390923	1.068312649011105
protected_core	all	xptar	enet	old	starting	cell_mse	2.8583802760571704	3.373790993563093	-0.5154107175059228	-15.276901221482975
protected_core	all	xptar	enet	core	previous	bias	0.28751865878279376	0.2802576998907784	0.0072609588920153345	
protected_core	all	xptar	enet	core	previous	spread	1.5269675305938544	1.461999103391435	0.06496842720241935	4.443807595484195
protected_core	all	xptar	enet	core	previous	rms	1.5538007654252686	1.4886187412045535	0.06518202422071506	4.378691629797116
protected_core	all	xptar	enet	core	previous	median	1.0460635350330283	1.0085014611453027	0.03756207388772559	3.7245433283823237
protected_core	all	xptar	enet	core	previous	p90	2.5227819829875355	2.415428616537321	0.10735336645021443	4.44448516156577
protected_core	all	xptar	enet	core	previous	cell_mse	2.8583802760571704	2.57559581193473	0.2827844641224404	10.979380491771295
protected_core	all	xptar	beam	old	starting	bias	0.2820162027938392	-0.3148324386558188	0.596848641449658	
protected_core	all	xptar	beam	old	starting	spread	1.4687981326689215	1.53898710121926	-0.07018896855033852	-4.56072494010713
protected_core	all	xptar	beam	old	starting	rms	1.4956273242923743	1.5708598798585536	-0.07523255556617925	-4.789259470612583
