rungroup	foil	zfoil	ndel	delta_low	delta_high	available	capacity	quota	surplus	excluded_core	total	holdout	holdout_core	noncore_development	geometry_excluded_development	actual_selected	q_hole	hole_cap	vanished
rg03_theta12p490_foilpm8	0	-8.0	3	0.0	5.0	7495	4726	957	6538	0	12555	2531	1888	2529	21	957	81.0	121	False
rg03_theta12p490_foilpm8	0	-8.0	4	5.0	10.0	5281	2676	1096	4185	0	8600	1741	1365	1578	3	1096	46.0	69	False
rg03_theta12p490_foilpm8	1	8.0	0	-10.0	-8.0	3122	2178	1043	2079	0	5252	1074	768	1056	12	1043	39.0	58	False
rg03_theta12p490_foilpm8	1	8.0	1	-8.0	-5.0	5044	3009	1012	4032	0	7844	1590	1240	1210	5	1012	49.75	74	False
rg03_theta12p490_foilpm8	1	8.0	2	-5.0	0.0	7820	4039	999	6821	0	11974	2418	1937	1736	4	999	68.25	102	False
rg03_theta12p490_foilpm8	1	8.0	3	0.0	5.0	6155	2496	1109	5046	0	9900	2003	1569	1742	2	1109	42.5	63	False
rg03_theta12p490_foilpm8	1	8.0	4	5.0	10.0	4159	1590	1450	2709	0	6577	1338	1017	1080	1	1450	29.0	43	False
rg04_theta15p195_foilpm3	0	-3.0	0	-10.0	-8.0	814	640	640	174	0	1457	308	196	335	4	640	15.0	22	False
rg04_theta15p195_foilpm3	0	-3.0	1	-8.0	-5.0	1748	1165	1165	583	0	2795	579	451	468	6	1165	21.75	32	False
rg04_theta15p195_foilpm3	0	-3.0	2	-5.0	0.0	2591	1427	1427	1164	0	4021	823	641	607	5	1427	25.25	37	False
rg04_theta15p195_foilpm3	0	-3.0	3	0.0	5.0	1622	823	823	799	0	2622	549	406	451	1	823	16.0	24	False
rg04_theta15p195_foilpm3	0	-3.0	4	5.0	10.0	678	397	397	281	0	1121	241	173	202	1	397	11.5	17	False
rg04_theta15p195_foilpm3	1	3.0	0	-10.0	-8.0	871	534	534	337	0	1529	325	208	333	4	534	11.0	16	False
rg04_theta15p195_foilpm3	1	3.0	1	-8.0	-5.0	1752	1211	1211	541	0	2716	564	440	400	3	1211	22.0	33	False
rg04_theta15p195_foilpm3	1	3.0	2	-5.0	0.0	2708	1320	1320	1388	0	4088	834	688	546	2	1320	23.0	34	False
rg04_theta15p195_foilpm3	1	3.0	3	0.0	5.0	1674	724	724	950	0	2774	576	434	524	0	724	15.25	22	False
rg04_theta15p195_foilpm3	1	3.0	4	5.0	10.0	632	325	325	307	0	1069	233	155	204	0	325	11.5	17	False
rg05_theta12p495_foilpm3	0	-3.0	0	-10.0	-8.0	1151	855	855	296	0	2044	426	271	467	8	855	17.5	26	False
rg05_theta12p495_foilpm3	0	-3.0	1	-8.0	-5.0	2654	1894	1894	760	0	4397	903	693	840	12	1894	32.5	48	False
rg05_theta12p495_foilpm3	0	-3.0	2	-5.0	0.0	5132	3232	2464	2668	0	8147	1651	1311	1364	8	2464	53.0	79	False
rg05_theta12p495_foilpm3	0	-3.0	3	0.0	5.0	4194	2623	2623	1571	0	6938	1411	1053	1333	2	2623	46.0	69	False
rg05_theta12p495_foilpm3	0	-3.0	4	5.0	10.0	2755	1419	1419	1336	0	4381	896	695	730	4	1419	25.75	38	False
rg05_theta12p495_foilpm3	1	3.0	0	-10.0	-8.0	1252	896	896	356	0	2298	481	303	565	5	896	17.25	25	False
rg05_theta12p495_foilpm3	1	3.0	1	-8.0	-5.0	3060	1978	1978	1082	0	4856	995	781	801	5	1978	34.25	51	False
rg05_theta12p495_foilpm3	1	3.0	2	-5.0	0.0	5546	3227	3227	2319	0	8550	1731	1385	1273	5	3227	54.75	82	False
rg05_theta12p495_foilpm3	1	3.0	3	0.0	5.0	4614	2134	2134	2480	0	7431	1508	1137	1309	6	2134	36.5	54	False
rg05_theta12p495_foilpm3	1	3.0	4	5.0	10.0	2979	1358	1358	1621	0	4745	969	764	797	0	1358	24.0	36	False
rg06_theta15p195_foilpm8	0	-8.0	0	-10.0	-8.0	910	737	737	173	0	1869	391	211	568	11	737	18.0	27	False
rg06_theta15p195_foilpm8	0	-8.0	1	-8.0	-5.0	2338	1622	880	1458	0	3905	805	586	762	4	880	28.75	43	False
rg06_theta15p195_foilpm8	0	-8.0	2	-5.0	0.0	3525	2100	876	2649	0	5627	1148	882	954	5	876	36.5	54	False
rg06_theta15p195_foilpm8	0	-8.0	3	0.0	5.0	2443	1202	856	1587	0	4028	826	607	759	7	856	21.75	32	False
rg06_theta15p195_foilpm8	0	-8.0	4	5.0	10.0	1056	650	633	423	0	1765	373	275	336	1	633	17.0	25	False
rg06_theta15p195_foilpm8	1	8.0	0	-10.0	-8.0	1232	927	807	425	0	2091	443	313	416	2	807	20.0	30	False
rg06_theta15p195_foilpm8	1	8.0	1	-8.0	-5.0	1847	1082	815	1032	0	2881	595	465	439	3	815	21.0	31	False
rg06_theta15p195_foilpm8	1	8.0	2	-5.0	0.0	2665	1316	829	1836	0	4014	825	667	524	0	829	24.75	37	False
rg06_theta15p195_foilpm8	1	8.0	3	0.0	5.0	1470	731	716	754	0	2442	508	369	464	0	716	17.0	25	False
rg06_theta15p195_foilpm8	1	8.0	4	5.0	10.0	585	371	371	214	0	936	200	144	151	0	371	13.0	19	False
rg07_theta12p495_foilpm8	0	-8.0	0	-10.0	-8.0	1197	771	771	426	0	2443	512	278	734	19	771	16.5	24	False
rg07_theta12p495_foilpm8	0	-8.0	1	-8.0	-5.0	2773	2012	925	1848	0	4692	960	700	959	18	925	34.25	51	False
rg07_theta12p495_foilpm8	0	-8.0	2	-5.0	0.0	4626	3071	934	3692	0	7487	1520	1165	1341	10	934	50.75	76	False
rg07_theta12p495_foilpm8	0	-8.0	3	0.0	5.0	3940	2350	928	3012	0	6632	1347	952	1345	11	928	41.25	61	False
rg07_theta12p495_foilpm8	0	-8.0	4	5.0	10.0	2664	1448	1012	1652	0	4339	891	654	784	1	1012	26.0	39	False
rg07_theta12p495_foilpm8	1	8.0	0	-10.0	-8.0	1358	896	892	466	0	2331	488	355	485	7	892	16.0	24	False
rg07_theta12p495_foilpm8	1	8.0	1	-8.0	-5.0	2480	1559	914	1566	0	3835	789	615	566	4	914	28.25	42	False
rg07_theta12p495_foilpm8	1	8.0	2	-5.0	0.0	3882	2087	914	2968	0	5964	1216	988	866	2	914	37.5	56	False
rg07_theta12p495_foilpm8	1	8.0	3	0.0	5.0	3042	1661	916	2126	0	4905	1005	787	858	3	916	34.0	51	False
rg07_theta12p495_foilpm8	1	8.0	4	5.0	10.0	1975	920	920	1055	0	3192	658	500	559	0	920	20.0	30	False
