rungroup	entry	reason	protected	quality	old_sample	sample
rg01_theta12p490_foil0	396498	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	398959	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	409963	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	412171	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	418756	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	419578	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	423601	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	423793	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	426108	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	427367	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	433015	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	441104	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	442177	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	444349	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	446182	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	448207	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	448562	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	448802	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	448905	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	452305	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	460064	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	463782	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	464722	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	466949	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	468257	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	468990	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	473570	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	476208	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	478302	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	478406	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	483012	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	486181	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	488560	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	493981	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	497645	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	498310	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	499511	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	502280	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	502523	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	504399	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	507608	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	522219	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	523858	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	525552	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	526613	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	529903	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	530516	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	531370	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	531657	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	536067	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	540521	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	541794	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	545536	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	546052	geometry_blocked	True	0	2	2
