rungroup	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel	original_core	available	excluded_core	blocked	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	pool	q_hole	hole_cap	capacity	hole_bound	population	quota	surplus	qa_low	hole_loss	parent_loss	actual_selected
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	4	0	1	687	687	0	False	1091	219	161	0	185	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	657	False	317	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	5	0	1	778	778	0	False	1267	254	201	0	235	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	748	False	408	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	6	0	1	839	839	0	False	1358	272	206	0	247	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	809	False	469	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	7	0	1	0	0	0	False	10	2	0	10	8	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	1	0	1	45	45	0	False	81	17	13	0	19	0	rg01_theta12p490_foil0	247.0	370	45	False	open_populated	30	15	False	0	15	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	2	0	1	376	376	0	False	612	123	92	0	113	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	346	False	6	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	3	0	1	553	553	0	False	882	177	142	0	152	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	523	False	183	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	4	0	1	769	769	0	False	1204	241	190	0	194	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	739	False	399	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	5	0	1	964	964	0	False	1524	305	243	0	255	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	934	False	594	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	6	0	1	1101	1101	0	False	1710	342	267	0	267	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	1071	False	731	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	7	0	1	60	60	0	False	96	20	14	0	16	0	rg01_theta12p490_foil0	247.0	370	60	False	open_populated	30	30	False	0	30	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	1	0	1	68	68	0	False	114	23	19	0	23	0	rg01_theta12p490_foil0	247.0	370	68	False	open_populated	30	38	False	0	38	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	2	0	1	361	361	0	False	578	116	86	0	101	0	rg01_theta12p490_foil0	247.0	370	361	False	open_populated	30	331	False	0	331	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	3	0	1	617	617	0	False	960	192	158	0	151	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	587	False	247	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	4	0	1	254	254	0	False	379	76	60	0	49	0	rg01_theta12p490_foil0	247.0	370	254	False	open_populated	30	224	False	0	224	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	5	0	1	1040	1040	0	False	1622	325	257	0	257	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	1010	False	670	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	6	0	1	1188	1188	0	False	1857	372	297	0	297	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	29	1159	False	818	341	29
rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	7	0	1	65	65	0	False	106	22	15	0	19	0	rg01_theta12p490_foil0	247.0	370	65	False	open_populated	30	35	False	0	35	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	1	0	1	42	42	0	False	74	15	11	0	17	0	rg01_theta12p490_foil0	247.0	370	42	False	open_populated	30	12	False	0	12	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	2	0	1	358	358	0	False	557	112	91	0	87	0	rg01_theta12p490_foil0	247.0	370	358	False	open_populated	30	328	False	0	328	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	3	0	1	605	605	0	False	929	186	145	0	138	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	575	False	235	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	4	0	1	807	807	0	False	1230	246	211	0	177	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	29	778	False	437	341	29
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	5	0	1	0	0	0	True	66	14	0	66	52	52	rg01_theta12p490_foil0	247.0	370	0	False	blocked	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	6	0	1	1181	1181	0	False	1844	369	300	0	294	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	1151	False	811	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	7	0	1	54	54	0	False	84	17	14	0	13	0	rg01_theta12p490_foil0	247.0	370	54	False	open_populated	30	24	False	0	24	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	1	0	1	16	16	0	False	28	6	4	0	6	0	rg01_theta12p490_foil0	247.0	370	16	False	open_populated	16	0	False	0	0	16
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	2	0	1	314	314	0	False	487	98	75	0	75	0	rg01_theta12p490_foil0	247.0	370	314	False	open_populated	30	284	False	0	284	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	3	0	1	473	473	0	False	749	150	114	0	126	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	443	False	103	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	4	0	1	669	669	0	False	1047	210	172	0	168	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	639	False	299	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	5	0	1	870	870	0	False	1316	264	221	0	182	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	840	False	500	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	6	0	1	959	959	0	False	1526	306	244	0	261	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	29	930	False	589	341	29
rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	7	0	1	0	0	0	False	12	3	0	12	9	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	2	0	1	226	226	0	False	358	72	51	0	60	0	rg01_theta12p490_foil0	247.0	370	226	False	open_populated	30	196	False	0	196	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	3	0	1	397	397	0	False	620	124	110	0	99	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	367	False	27	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	4	0	1	542	542	0	False	856	172	136	0	142	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	512	False	172	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	5	0	1	685	685	0	False	1069	214	165	0	170	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	655	False	315	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	6	0	1	761	761	0	False	1186	238	193	0	187	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	731	False	391	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	7	0	1	0	0	0	False	1	1	0	1	0	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	2	0	1	191	191	0	False	282	57	47	0	34	0	rg01_theta12p490_foil0	247.0	370	191	False	open_populated	30	161	False	0	161	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	3	0	1	260	260	0	False	402	81	61	0	61	0	rg01_theta12p490_foil0	247.0	370	260	False	open_populated	30	230	False	0	230	30
