pool	rungroup	zfoil	delta_low	delta_high	xscol	yscol	available	fit	surplus
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	6	761	30	731
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	2	191	30	161
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	3	260	30	230
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	4	367	30	337
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	5	465	30	435
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	6	412	30	382
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	1	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	2	240	27	213
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	3	412	27	385
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	4	557	27	530
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	5	701	27	674
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	0	6	324	27	297
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	1	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	2	356	27	329
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	3	603	27	576
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	4	827	27	800
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	5	1030	27	1003
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	6	1192	27	1165
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	1	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	1	70	27	43
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	2	535	27	508
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	3	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	4	1038	27	1011
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	5	1248	27	1221
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	6	1597	27	1570
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	2	7	151	27	124
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	1	159	27	132
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	2	573	27	546
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	3	919	27	892
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	4	1276	27	1249
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	5	1628	27	1601
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	6	1945	27	1918
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	3	7	527	27	500
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	1	197	27	170
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	2	661	27	634
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	3	1004	27	977
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	4	393	27	366
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	5	1776	27	1749
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	6	2228	27	2201
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	4	7	721	27	694
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	1	199	27	172
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	2	617	27	590
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	3	894	27	867
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	4	1324	27	1297
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	5	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	6	2070	27	2043
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	5	7	505	27	478
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	1	103	27	76
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	2	524	27	497
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	3	785	28	757
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	4	1105	27	1078
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	5	1426	27	1399
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	6	1815	27	1788
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	6	7	145	27	118
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	1	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	2	383	27	356
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	3	588	27	561
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	4	884	27	857
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	5	1193	27	1166
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	6	1359	27	1332
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	7	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	8	2	240	27	213
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	8	3	401	27	374
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	8	4	591	27	564
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	8	5	869	27	842
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-5.0	0.0	8	6	490	27	463
