rungroup	entry	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel
rg07_theta12p495_foilpm8	57432	8.0	-8.0	-5.0	1	7	1	1
rg07_theta12p495_foilpm8	57450	-8.0	-8.0	-5.0	6	1	0	1
rg07_theta12p495_foilpm8	57459	-8.0	0.0	5.0	2	5	0	3
rg07_theta12p495_foilpm8	57481	-8.0	-5.0	0.0	2	2	0	2
rg07_theta12p495_foilpm8	57484	8.0	0.0	5.0	4	6	1	3
rg07_theta12p495_foilpm8	57488	-8.0	0.0	5.0	1	5	0	3
rg07_theta12p495_foilpm8	57498	8.0	-8.0	-5.0	5	6	1	1
rg07_theta12p495_foilpm8	57506	-8.0	-8.0	-5.0	7	6	0	1
rg07_theta12p495_foilpm8	57510	8.0	-8.0	-5.0	6	5	1	1
rg07_theta12p495_foilpm8	57608	-8.0	5.0	10.0	3	2	0	4
rg07_theta12p495_foilpm8	57642	8.0	0.0	5.0	0	5	1	3
rg07_theta12p495_foilpm8	57683	-8.0	-10.0	-8.0	2	5	0	0
rg07_theta12p495_foilpm8	57686	8.0	-10.0	-8.0	5	2	1	0
rg07_theta12p495_foilpm8	57733	8.0	-5.0	0.0	3	7	1	2
rg07_theta12p495_foilpm8	57750	8.0	5.0	10.0	7	5	1	4
rg07_theta12p495_foilpm8	57761	-8.0	0.0	5.0	3	3	0	3
rg07_theta12p495_foilpm8	57788	8.0	-10.0	-8.0	6	5	1	0
rg07_theta12p495_foilpm8	57811	8.0	0.0	5.0	3	7	1	3
rg07_theta12p495_foilpm8	57824	-8.0	-5.0	0.0	1	6	0	2
rg07_theta12p495_foilpm8	57855	-8.0	0.0	5.0	2	6	0	3
rg07_theta12p495_foilpm8	57875	-8.0	-10.0	-8.0	7	5	0	0
rg07_theta12p495_foilpm8	57904	8.0	-10.0	-8.0	1	7	1	0
rg07_theta12p495_foilpm8	57924	8.0	-8.0	-5.0	2	6	1	1
rg07_theta12p495_foilpm8	57932	8.0	5.0	10.0	4	6	1	4
rg07_theta12p495_foilpm8	57945	-8.0	-10.0	-8.0	7	4	0	0
rg07_theta12p495_foilpm8	57950	-8.0	5.0	10.0	6	6	0	4
rg07_theta12p495_foilpm8	58007	8.0	0.0	5.0	1	6	1	3
rg07_theta12p495_foilpm8	58029	-8.0	-5.0	0.0	3	5	0	2
rg07_theta12p495_foilpm8	58098	8.0	-10.0	-8.0	4	3	1	0
rg07_theta12p495_foilpm8	58114	8.0	-8.0	-5.0	1	4	1	1
rg07_theta12p495_foilpm8	58121	-8.0	0.0	5.0	2	5	0	3
rg07_theta12p495_foilpm8	58128	8.0	-10.0	-8.0	3	3	1	0
rg07_theta12p495_foilpm8	58176	8.0	5.0	10.0	7	7	1	4
rg07_theta12p495_foilpm8	58217	-8.0	-8.0	-5.0	6	6	0	1
rg07_theta12p495_foilpm8	58241	-8.0	-8.0	-5.0	4	6	0	1
rg07_theta12p495_foilpm8	58246	8.0	-8.0	-5.0	3	5	1	1
rg07_theta12p495_foilpm8	58261	8.0	-8.0	-5.0	0	6	1	1
rg07_theta12p495_foilpm8	58265	8.0	-10.0	-8.0	6	6	1	0
rg07_theta12p495_foilpm8	58268	-8.0	-8.0	-5.0	6	1	0	1
rg07_theta12p495_foilpm8	58313	8.0	5.0	10.0	3	6	1	4
rg07_theta12p495_foilpm8	58318	8.0	0.0	5.0	4	3	1	3
rg07_theta12p495_foilpm8	58344	-8.0	-8.0	-5.0	3	5	0	1
rg07_theta12p495_foilpm8	58350	8.0	-8.0	-5.0	6	7	1	1
rg07_theta12p495_foilpm8	58370	-8.0	-10.0	-8.0	6	5	0	0
rg07_theta12p495_foilpm8	58394	8.0	0.0	5.0	8	6	1	3
rg07_theta12p495_foilpm8	58454	-8.0	5.0	10.0	8	4	0	4
rg07_theta12p495_foilpm8	58466	8.0	5.0	10.0	6	6	1	4
rg07_theta12p495_foilpm8	58659	8.0	5.0	10.0	4	5	1	4
rg07_theta12p495_foilpm8	58681	-8.0	-8.0	-5.0	0	5	0	1
rg07_theta12p495_foilpm8	58741	-8.0	-5.0	0.0	0	3	0	2
rg07_theta12p495_foilpm8	58763	-8.0	5.0	10.0	2	4	0	4
rg07_theta12p495_foilpm8	58812	-8.0	-10.0	-8.0	4	5	0	0
rg07_theta12p495_foilpm8	58840	8.0	0.0	5.0	3	6	1	3
rg07_theta12p495_foilpm8	58871	8.0	-10.0	-8.0	0	6	1	0
rg07_theta12p495_foilpm8	58921	8.0	-5.0	0.0	8	5	1	2
rg07_theta12p495_foilpm8	58935	-8.0	5.0	10.0	5	2	0	4
rg07_theta12p495_foilpm8	58984	8.0	-8.0	-5.0	3	7	1	1
rg07_theta12p495_foilpm8	58996	-8.0	-8.0	-5.0	3	4	0	1
rg07_theta12p495_foilpm8	59011	-8.0	0.0	5.0	7	1	0	3
rg07_theta12p495_foilpm8	59029	8.0	5.0	10.0	0	6	1	4
rg07_theta12p495_foilpm8	59110	8.0	0.0	5.0	1	7	1	3
rg07_theta12p495_foilpm8	59136	-8.0	0.0	5.0	1	2	0	3
rg07_theta12p495_foilpm8	59144	-8.0	-10.0	-8.0	2	4	0	0
rg07_theta12p495_foilpm8	59175	8.0	-10.0	-8.0	8	6	1	0
rg07_theta12p495_foilpm8	59204	-8.0	-8.0	-5.0	7	5	0	1
rg07_theta12p495_foilpm8	59231	8.0	0.0	5.0	0	5	1	3
rg07_theta12p495_foilpm8	59246	8.0	5.0	10.0	5	6	1	4
rg07_theta12p495_foilpm8	59291	-8.0	0.0	5.0	5	3	0	3
rg07_theta12p495_foilpm8	59298	8.0	0.0	5.0	3	2	1	3
rg07_theta12p495_foilpm8	59320	8.0	-10.0	-8.0	2	4	1	0
rg07_theta12p495_foilpm8	59348	-8.0	0.0	5.0	2	4	0	3
rg07_theta12p495_foilpm8	59381	-8.0	5.0	10.0	2	4	0	4
rg07_theta12p495_foilpm8	59411	8.0	-8.0	-5.0	6	3	1	1
rg07_theta12p495_foilpm8	59479	8.0	0.0	5.0	5	6	1	3
rg07_theta12p495_foilpm8	59502	-8.0	0.0	5.0	3	2	0	3
rg07_theta12p495_foilpm8	59507	-8.0	0.0	5.0	3	2	0	3
rg07_theta12p495_foilpm8	59515	-8.0	5.0	10.0	0	4	0	4
rg07_theta12p495_foilpm8	59579	8.0	-10.0	-8.0	1	4	1	0
rg07_theta12p495_foilpm8	59607	-8.0	5.0	10.0	2	1	0	4
rg07_theta12p495_foilpm8	59620	-8.0	5.0	10.0	8	5	0	4
rg07_theta12p495_foilpm8	59624	-8.0	0.0	5.0	1	3	0	3
rg07_theta12p495_foilpm8	59626	8.0	-8.0	-5.0	1	5	1	1
rg07_theta12p495_foilpm8	59636	-8.0	-5.0	0.0	1	2	0	2
rg07_theta12p495_foilpm8	59646	-8.0	5.0	10.0	1	3	0	4
rg07_theta12p495_foilpm8	59660	8.0	5.0	10.0	2	4	1	4
rg07_theta12p495_foilpm8	59662	8.0	5.0	10.0	3	7	1	4
rg07_theta12p495_foilpm8	59683	8.0	0.0	5.0	7	7	1	3
rg07_theta12p495_foilpm8	59706	-8.0	-8.0	-5.0	2	5	0	1
rg07_theta12p495_foilpm8	59739	8.0	-10.0	-8.0	4	6	1	0
rg07_theta12p495_foilpm8	59766	-8.0	-8.0	-5.0	3	2	0	1
rg07_theta12p495_foilpm8	59782	8.0	-10.0	-8.0	5	6	1	0
rg07_theta12p495_foilpm8	59805	-8.0	-10.0	-8.0	4	3	0	0
rg07_theta12p495_foilpm8	59897	-8.0	-5.0	0.0	2	2	0	2
rg07_theta12p495_foilpm8	59923	8.0	-5.0	0.0	4	4	1	2
rg07_theta12p495_foilpm8	59934	-8.0	-10.0	-8.0	4	2	0	0
rg07_theta12p495_foilpm8	59935	8.0	5.0	10.0	7	3	1	4
rg07_theta12p495_foilpm8	59958	8.0	5.0	10.0	5	4	1	4
rg07_theta12p495_foilpm8	59962	-8.0	-10.0	-8.0	6	5	0	0
rg07_theta12p495_foilpm8	59988	8.0	-8.0	-5.0	8	3	1	1
rg07_theta12p495_foilpm8	59995	8.0	0.0	5.0	3	3	1	3
rg07_theta12p495_foilpm8	60047	-8.0	-8.0	-5.0	3	2	0	1
rg07_theta12p495_foilpm8	60056	8.0	-10.0	-8.0	8	5	1	0
rg07_theta12p495_foilpm8	60063	8.0	-8.0	-5.0	0	4	1	1
rg07_theta12p495_foilpm8	60081	-8.0	-10.0	-8.0	5	3	0	0
rg07_theta12p495_foilpm8	60115	8.0	5.0	10.0	0	6	1	4
rg07_theta12p495_foilpm8	60135	8.0	-8.0	-5.0	0	6	1	1
rg07_theta12p495_foilpm8	60149	8.0	0.0	5.0	8	5	1	3
rg07_theta12p495_foilpm8	60183	-8.0	-5.0	0.0	4	4	0	2
rg07_theta12p495_foilpm8	60204	-8.0	-10.0	-8.0	6	4	0	0
rg07_theta12p495_foilpm8	60227	-8.0	-8.0	-5.0	8	3	0	1
rg07_theta12p495_foilpm8	60254	-8.0	-5.0	0.0	0	5	0	2
rg07_theta12p495_foilpm8	60256	8.0	5.0	10.0	1	7	1	4
rg07_theta12p495_foilpm8	60307	-8.0	5.0	10.0	6	5	0	4
rg07_theta12p495_foilpm8	60339	8.0	-10.0	-8.0	8	6	1	0
rg07_theta12p495_foilpm8	60353	-8.0	-5.0	0.0	2	6	0	2
rg07_theta12p495_foilpm8	60373	-8.0	-5.0	0.0	4	6	0	2
rg07_theta12p495_foilpm8	60432	8.0	0.0	5.0	8	6	1	3
rg07_theta12p495_foilpm8	60454	8.0	5.0	10.0	6	3	1	4
rg07_theta12p495_foilpm8	60472	-8.0	5.0	10.0	7	4	0	4
rg07_theta12p495_foilpm8	60476	8.0	-10.0	-8.0	1	5	1	0
rg07_theta12p495_foilpm8	60480	8.0	-8.0	-5.0	2	7	1	1
rg07_theta12p495_foilpm8	60488	-8.0	0.0	5.0	8	5	0	3
rg07_theta12p495_foilpm8	60515	8.0	5.0	10.0	1	5	1	4
rg07_theta12p495_foilpm8	60562	-8.0	-10.0	-8.0	2	4	0	0
rg07_theta12p495_foilpm8	60583	8.0	-8.0	-5.0	6	6	1	1
rg07_theta12p495_foilpm8	60700	8.0	0.0	5.0	5	4	1	3
rg07_theta12p495_foilpm8	60706	-8.0	5.0	10.0	4	2	0	4
rg07_theta12p495_foilpm8	60725	-8.0	5.0	10.0	3	1	0	4
rg07_theta12p495_foilpm8	60824	-8.0	0.0	5.0	6	2	0	3
rg07_theta12p495_foilpm8	60911	-8.0	0.0	5.0	4	3	0	3
rg07_theta12p495_foilpm8	60949	-8.0	-8.0	-5.0	1	3	0	1
rg07_theta12p495_foilpm8	61020	-8.0	-8.0	-5.0	1	2	0	1
rg07_theta12p495_foilpm8	61053	-8.0	-10.0	-8.0	7	5	0	0
rg07_theta12p495_foilpm8	61071	-8.0	5.0	10.0	0	3	0	4
rg07_theta12p495_foilpm8	61173	-8.0	-8.0	-5.0	3	3	0	1
rg07_theta12p495_foilpm8	61199	8.0	-5.0	0.0	2	4	1	2
rg07_theta12p495_foilpm8	61201	8.0	0.0	5.0	6	7	1	3
rg07_theta12p495_foilpm8	61216	8.0	-8.0	-5.0	4	4	1	1
rg07_theta12p495_foilpm8	61225	-8.0	-5.0	0.0	8	3	0	2
rg07_theta12p495_foilpm8	61248	8.0	0.0	5.0	4	6	1	3
rg07_theta12p495_foilpm8	61260	8.0	-8.0	-5.0	4	3	1	1
rg07_theta12p495_foilpm8	61278	-8.0	5.0	10.0	3	1	0	4
rg07_theta12p495_foilpm8	61320	8.0	5.0	10.0	7	6	1	4
rg07_theta12p495_foilpm8	61375	-8.0	5.0	10.0	4	2	0	4
rg07_theta12p495_foilpm8	61397	-8.0	-10.0	-8.0	6	5	0	0
rg07_theta12p495_foilpm8	61428	8.0	-5.0	0.0	4	5	1	2
rg07_theta12p495_foilpm8	61455	8.0	5.0	10.0	4	5	1	4
