method	foil_z_cm	N	target	units	training_count	heldout_count	training_residual_rms	heldout_residual_rms	heldout_change_from_reference_percent
current_XTX	-8.0	126	ytar	cm	44310	36160	0.15776112852067295	0.15406213951032008	0.0
current_XTX	-8.0	126	yptar	mrad	44310	36160	1.1181366293588513	1.089375995524326	0.0
current_XTX	-8.0	127	xptar	mrad	44310	36160	2.2751406917644212	2.2287861835747274	0.01706739210181052
current_XTX	-8.0	127	ytar	cm	44310	36160	0.15776712608823246	0.1540905738031013	0.018456379271114542
current_XTX	-8.0	127	yptar	mrad	44310	36160	1.1178317209391624	1.0893548953835996	-0.0019369015668679879
current_XTX	-8.0	128	xptar	mrad	44310	36160	2.2743959224768027	2.2284215909749876	0.0007062521738987471
current_XTX	-8.0	128	ytar	cm	44310	36160	0.1577530111746514	0.15426170660827007	0.12953675613249782
current_XTX	-8.0	128	yptar	mrad	44310	36160	1.117526015687549	1.0892659088161678	-0.010105483195022025
current_XTX	-8.0	129	xptar	mrad	44310	36160	2.2685785705470822	2.2168221511120003	-0.519820107436908
current_XTX	-8.0	129	ytar	cm	44310	36160	0.1578584549280178	0.15439141839652915	0.2137312173228656
current_XTX	-8.0	129	yptar	mrad	44310	36160	1.1174467717323	1.0891820277198438	-0.017805404679294146
current_XTX	-8.0	130	xptar	mrad	44310	36160	2.2683229257909647	2.2169458037718845	-0.5142711783794662
current_XTX	-8.0	130	ytar	cm	44310	36160	0.15766854808507558	0.15416251314798607	0.06515139799110337
current_XTX	-8.0	130	yptar	mrad	44310	36160	1.1174676517461273	1.089224194084792	-0.01393471493384979
current_XTX	-8.0	131	xptar	mrad	44310	36160	2.2679808345256864	2.216831563498352	-0.5193977253856397
current_XTX	-8.0	131	ytar	cm	44310	36160	0.1574556978784097	0.15386981889769685	-0.12483314410309809
current_XTX	-8.0	131	yptar	mrad	44310	36160	1.1173993272633125	1.0890852896029053	-0.0266855449922776
current_XTX	-8.0	132	xptar	mrad	44310	36160	2.2681001279839195	2.216812665168928	-0.5202457903555002
current_XTX	-8.0	132	ytar	cm	44310	36160	0.15772940703835756	0.15423080560034233	0.10947925983524343
current_XTX	-8.0	132	yptar	mrad	44310	36160	1.1176561376244176	1.0894631368817493	0.007999199338093455
current_XTX	-8.0	133	xptar	mrad	44310	36160	2.2680147623951146	2.216779278488045	-0.5217440219653757
current_XTX	-8.0	133	ytar	cm	44310	36160	0.15741782724267359	0.15382844219072517	-0.15169029869227524
current_XTX	-8.0	133	yptar	mrad	44310	36160	1.1173838835581467	1.0890663446338542	-0.028424611130051236
current_XTX	-8.0	134	xptar	mrad	44310	36160	2.2678247353701395	2.2168678057941404	-0.5177713476886558
current_XTX	-8.0	134	ytar	cm	44310	36160	0.1573949862067507	0.15379766555079497	-0.17166706912271623
current_XTX	-8.0	134	yptar	mrad	44310	36160	1.1173086206567076	1.0889567236669189	-0.03848734129719977
current_XTX	-8.0	135	xptar	mrad	44310	36160	2.26758411145695	2.2167546699061207	-0.5228483352525237
current_XTX	-8.0	135	ytar	cm	44310	36160	0.1574333156266923	0.15385541178282697	-0.13418464013947862
current_XTX	-8.0	135	yptar	mrad	44310	36160	1.1174052142068345	1.089120352698642	-0.023466904607261085
current_XTX	-8.0	136	xptar	mrad	44310	36160	2.264758510702493	2.215733730038001	-0.5686631434856038
current_XTX	-8.0	136	ytar	cm	44310	36160	0.1574393313494105	0.15391334701436676	-0.09657953370389993
current_XTX	-8.0	136	yptar	mrad	44310	36160	1.117471941519162	1.0892826128823958	-0.008572122234551394
current_XTX	-8.0	137	xptar	mrad	44310	36160	2.2648588001988577	2.2156164733662917	-0.5739250517489136
current_XTX	-8.0	137	ytar	cm	44310	36160	0.15748283656177273	0.15397114972232862	-0.0590604468305278
current_XTX	-8.0	137	yptar	mrad	44310	36160	1.117572177464276	1.0893964744908777	0.001879880466959527
current_XTX	-8.0	138	xptar	mrad	44310	36160	2.2650642262455287	2.2156772518451366	-0.5711976096733129
current_XTX	-8.0	138	ytar	cm	44310	36160	0.1575333637355551	0.15401873373935	-0.0281741971830618
current_XTX	-8.0	138	yptar	mrad	44310	36160	1.117497841030898	1.089243015474555	-0.012206992839702835
current_XTX	-8.0	139	xptar	mrad	44310	36160	2.264906879931955	2.215488865146246	-0.5796514870786806
current_XTX	-8.0	139	ytar	cm	44310	36160	0.15734880268099455	0.1537794631201831	-0.1834820618715649
current_XTX	-8.0	139	yptar	mrad	44310	36160	1.117583939259713	1.0893554394492229	-0.00188695869816069
current_XTX	-8.0	140	xptar	mrad	44310	36160	2.2651904643371226	2.2156218479601604	-0.5736838661560051
current_XTX	-8.0	140	ytar	cm	44310	36160	0.15757451599326858	0.15406863656727798	0.004217166513820203
current_XTX	-8.0	140	yptar	mrad	44310	36160	1.1176185545136286	1.08940826569034	0.0029622615283164677
current_XTX	-8.0	141	xptar	mrad	44310	36160	2.2647043617328273	2.215428603542537	-0.5823557343159091
current_XTX	-8.0	141	ytar	cm	44310	36160	0.157137331329674	0.1535398394001245	-0.3390191203729187
current_XTX	-8.0	141	yptar	mrad	44310	36160	1.1174507920475933	1.0891759579870568	-0.01836257987060108
current_XTX	-8.0	142	xptar	mrad	44310	36160	2.2649379146392636	2.214778168850139	-0.6115440750114609
current_XTX	-8.0	142	ytar	cm	44310	36160	0.15740821085462334	0.1538691837470071	-0.12524541326395244
current_XTX	-8.0	142	yptar	mrad	44310	36160	1.1174969034673963	1.0892618029406878	-0.010482384787935395
current_XTX	-8.0	143	xptar	mrad	44310	36160	2.2644919491550004	2.2144757574782234	-0.6251148243224258
current_XTX	-8.0	143	ytar	cm	44310	36160	0.15729647667619898	0.15370386917528084	-0.2325492403117302
current_XTX	-8.0	143	yptar	mrad	44310	36160	1.1174481284907682	1.0891814670791942	-0.017856869063681557
current_XTX	-8.0	144	xptar	mrad	44310	36160	2.264564448445333	2.2148345900152475	-0.6090121679516614
current_XTX	-8.0	144	ytar	cm	44310	36160	0.15728487741506372	0.15371105485285255	-0.22788509791141776
current_XTX	-8.0	144	yptar	mrad	44310	36160	1.1174951891731122	1.0892475219171698	-0.011793320918040973
current_XTX	-8.0	145	xptar	mrad	44310	36160	2.264663871240307	2.214701066663676	-0.6150040455713879
current_XTX	-8.0	145	ytar	cm	44310	36160	0.15734960897483954	0.15376854135244944	-0.1905712583272101
current_XTX	-8.0	145	yptar	mrad	44310	36160	1.1175064432077626	1.0891813769011711	-0.01786514701577202
current_XTX	-8.0	146	xptar	mrad	44310	36160	2.2633110068686153	2.2145852391527794	-0.6202018200589632
current_XTX	-8.0	146	ytar	cm	44310	36160	0.15723119165840702	0.153621942095184	-0.2857271854948995
current_XTX	-8.0	146	yptar	mrad	44310	36160	1.117336799287644	1.0889833210431052	-0.03604581731505574
current_XTX	-8.0	147	xptar	mrad	44310	36160	2.262954220592134	2.2143346945088815	-0.6314450432618579
current_XTX	-8.0	147	ytar	cm	44310	36160	0.1573873603807846	0.15375559094265276	-0.19897722350323832
current_XTX	-8.0	147	yptar	mrad	44310	36160	1.1174063191280839	1.0890588805416044	-0.0291097824832387
current_XTX	-8.0	148	xptar	mrad	44310	36160	2.262402278100432	2.2140444136281796	-0.6444714352153547
current_XTX	-8.0	148	ytar	cm	44310	36160	0.15738565425172601	0.1537542142823124	-0.19987079822882947
current_XTX	-8.0	148	yptar	mrad	44310	36160	1.1174367211358023	1.0890982053526297	-0.025499935085560033
current_XTX	-8.0	149	xptar	mrad	44310	36160	2.263166365411724	2.2142558604851943	-0.6349827302405409
current_XTX	-8.0	149	ytar	cm	44310	36160	0.1574526275620693	0.15386003846729487	-0.13118151134832168
current_XTX	-8.0	149	yptar	mrad	44310	36160	1.117599554347916	1.089374006062456	-0.00018262398642221456
current_XTX	-8.0	150	xptar	mrad	44310	36160	2.26393405761225	2.2147610715546016	-0.6123113183534201
current_XTX	-8.0	150	ytar	cm	44310	36160	0.15765105094711862	0.1541226155458323	0.039254313684344844
current_XTX	-8.0	150	yptar	mrad	44310	36160	1.1176331319285868	1.0894524598921782	0.007019097920846207
current_XTX	-8.0	151	xptar	mrad	44310	36160	2.263814131855779	2.2142575667040343	-0.6349061634500774
current_XTX	-8.0	151	ytar	cm	44310	36160	0.15799768908542816	0.15454839375530766	0.3156221551466887
current_XTX	-8.0	151	yptar	mrad	44310	36160	1.117840802695146	1.0897365429238315	0.033096690305889354
current_XTX	-8.0	152	xptar	mrad	44310	36160	2.2637390490957894	2.2141584044685128	-0.639356081556175
current_XTX	-8.0	152	ytar	cm	44310	36160	0.1577939599710454	0.15447279633755223	0.2665527225166553
current_XTX	-8.0	152	yptar	mrad	44310	36160	1.1169846017560832	1.0894469207604578	0.006510629610256835
current_XTX	-8.0	153	xptar	mrad	44310	36160	2.26351716027448	2.214361353400864	-0.6302487220464559
current_XTX	-8.0	153	ytar	cm	44310	36160	0.15763909786339872	0.1542767358352365	0.13929205812570622
current_XTX	-8.0	153	yptar	mrad	44310	36160	1.1165831133633137	1.0887654675607672	-0.05604382380989259
current_XTX	-8.0	154	xptar	mrad	44310	36160	2.2641459729661837	2.2149397500534698	-0.6042930976759453
current_XTX	-8.0	154	ytar	cm	44310	36160	0.15743263886440997	0.15390156419790754	-0.10422762719181078
current_XTX	-8.0	154	yptar	mrad	44310	36160	1.1169715163061262	1.088435062501527	-0.08637357777890875
current_XTX	-8.0	155	xptar	mrad	44310	36160	2.263540422618318	2.215092596302373	-0.5974341025467345
current_XTX	-8.0	155	ytar	cm	44310	36160	0.15791449009610262	0.15460404104492873	0.35174218424529613
current_XTX	-8.0	155	yptar	mrad	44310	36160	1.1165605402927046	1.0879667981655905	-0.12935821649505685
current_XTX	-8.0	156	xptar	mrad	44310	36160	2.261876969618468	2.2114457979699664	-0.7610846479717437
current_XTX	-8.0	156	ytar	cm	44310	36160	0.15733121823723165	0.15395973721096776	-0.06646817944876426
current_XTX	-8.0	156	yptar	mrad	44310	36160	1.1170976329693236	1.0885893269488423	-0.07221276939420873
current_XTX	-8.0	157	xptar	mrad	44310	36160	2.2624539293271693	2.211284071848825	-0.7683421285127001
current_XTX	-8.0	157	ytar	cm	44310	36160	0.1576672327985893	0.15434556226203874	0.18396651677012876
current_XTX	-8.0	157	yptar	mrad	44310	36160	1.117092344919927	1.0885865094092932	-0.07247140732643542
current_XTX	-8.0	158	xptar	mrad	44310	36160	2.261779125486355	2.2110262679979233	-0.7799111095659783
current_XTX	-8.0	158	ytar	cm	44310	36160	0.15744914684589198	0.15406142357666047	-0.00046470447696567163
current_XTX	-8.0	158	yptar	mrad	44310	36160	1.1171771157620345	1.0886741225878325	-0.06442889685261965
current_XTX	-8.0	159	xptar	mrad	44310	36160	2.262553779716685	2.211111974748826	-0.7760650080672504
current_XTX	-8.0	159	ytar	cm	44310	36160	0.1574728186573583	0.15409299547485536	0.02002825913840489
current_XTX	-8.0	159	yptar	mrad	44310	36160	1.1167345585516741	1.0881044774390558	-0.11671985526523487
current_XTX	-8.0	160	xptar	mrad	44310	36160	2.2622076951344097	2.211304376597948	-0.7674309502774923
current_XTX	-8.0	160	ytar	cm	44310	36160	0.15765060386714339	0.15432630096910332	0.17146422840996767
current_XTX	-8.0	160	yptar	mrad	44310	36160	1.1171070162918029	1.0886075601354797	-0.07053904180039927
current_XTX	-8.0	161	xptar	mrad	44310	36160	2.2625583532052307	2.210871423214511	-0.7868597891889983
current_XTX	-8.0	161	ytar	cm	44310	36160	0.15756060733313923	0.15420812029761816	0.09475448527591634
current_XTX	-8.0	161	yptar	mrad	44310	36160	1.1171402014410812	1.0886551972968508	-0.06616615662881076
current_XTX	-8.0	162	xptar	mrad	44310	36160	2.2625327470090015	2.210685886960951	-0.7951857524925776
current_XTX	-8.0	162	ytar	cm	44310	36160	0.157681729982512	0.15433468611184623	0.17690693014678072
current_XTX	-8.0	162	yptar	mrad	44310	36160	1.1167130495780186	1.0880645047486066	-0.12038917518907288
current_XTX	-8.0	163	xptar	mrad	44310	36160	2.261776340161813	2.2103448272523822	-0.8104908508945963
current_XTX	-8.0	163	ytar	cm	44310	36160	0.15748678988275688	0.15410227268717597	0.026049993193288934
current_XTX	-8.0	163	yptar	mrad	44310	36160	1.1170125661557098	1.0884896226917253	-0.0813651885338329
current_XTX	-8.0	164	xptar	mrad	44310	36160	2.2625886961775503	2.2106228979412617	-0.7980123928736371
current_XTX	-8.0	164	ytar	cm	44310	36160	0.15777202206355317	0.15447198747056579	0.2660276960636754
current_XTX	-8.0	164	yptar	mrad	44310	36160	1.1168903642401071	1.0882599113215525	-0.10245169779387053
current_XTX	-8.0	165	xptar	mrad	44310	36160	2.26155713207653	2.2098760896288145	-0.8315255121963738
current_XTX	-8.0	165	ytar	cm	44310	36160	0.15778729592634505	0.154484991766249	0.2744686379618777
current_XTX	-8.0	165	yptar	mrad	44310	36160	1.1168382814020215	1.088243133331685	-0.10399184462438482
current_XTX	-8.0	166	xptar	mrad	44310	36160	2.262845957610667	2.2097056725069617	-0.8391730025149813
current_XTX	-8.0	166	ytar	cm	44310	36160	0.15731888695667037	0.15403376876553534	-0.018415130982152306
current_XTX	-8.0	166	yptar	mrad	44310	36160	1.1163955601424178	1.0877406144712096	-0.15012090039026038
current_XTX	-8.0	167	xptar	mrad	44310	36160	2.261897549287406	2.2091834443677336	-0.8626080576046746
current_XTX	-8.0	167	ytar	cm	44310	36160	0.15755784207404352	0.15433271759848166	0.17562919028750734
current_XTX	-8.0	167	yptar	mrad	44310	36160	1.1164053981104909	1.0878481733451102	-0.14024746143598277
current_XTX	-8.0	168	xptar	mrad	44310	36160	2.2615358429602854	2.209091207446259	-0.8667472013498823
current_XTX	-8.0	168	ytar	cm	44310	36160	0.15738684642825723	0.1541356500089135	0.04771483690091394
current_XTX	-8.0	168	yptar	mrad	44310	36160	1.116568838355451	1.0880669449533595	-0.12016517495747614
current_XTX	-8.0	169	xptar	mrad	44310	36160	2.2621034624103737	2.2093671872591343	-0.8543625716592396
current_XTX	-8.0	169	ytar	cm	44310	36160	0.15739810616408847	0.15413375718571856	0.04648622667848823
current_XTX	-8.0	169	yptar	mrad	44310	36160	1.1166564568189121	1.0882093383718938	-0.10709407561994011
current_XTX	-8.0	170	xptar	mrad	44310	36160	2.262076398682754	2.209430754739623	-0.8515099727752218
current_XTX	-8.0	170	ytar	cm	44310	36160	0.15644774353479016	0.15323617331774358	-0.536125355133843
current_XTX	-8.0	170	yptar	mrad	44310	36160	1.115106060439508	1.0861565292291901	-0.2955330674039969
current_XTX	-8.0	171	xptar	mrad	44310	36160	2.262056526149542	2.2096109805684807	-0.8434223154649367
current_XTX	-8.0	171	ytar	cm	44310	36160	0.15681164225384378	0.15366574613707296	-0.2572944751429773
current_XTX	-8.0	171	yptar	mrad	44310	36160	1.1145329123493912	1.0853871898363516	-0.3661550928570456
current_XTX	-8.0	172	xptar	mrad	44310	36160	2.261487423411901	2.209158926927446	-0.8637082808991337
current_XTX	-8.0	172	ytar	cm	44310	36160	0.15611629279978675	0.1528348290291497	-0.7966334136805697
current_XTX	-8.0	172	yptar	mrad	44310	36160	1.115382292279587	1.086546475676177	-0.25973767182077
current_XTX	-8.0	173	xptar	mrad	44310	36160	2.2623953166754376	2.2096221540899172	-0.8429209022496331
current_XTX	-8.0	173	ytar	cm	44310	36160	0.1559833630184652	0.15276251258592477	-0.8435732026869869
current_XTX	-8.0	173	yptar	mrad	44310	36160	1.1155475122111378	1.0866663361725513	-0.24873499718255365
current_XTX	-8.0	174	xptar	mrad	44310	36160	2.2613702296052214	2.209119368556148	-0.8654834679122092
current_XTX	-8.0	174	ytar	cm	44310	36160	0.15605740401192675	0.15285933250878145	-0.7807284809633996
current_XTX	-8.0	174	yptar	mrad	44310	36160	1.1155104285383448	1.0866345481894426	-0.2516529964077252
current_XTX	-8.0	175	xptar	mrad	44310	36160	2.261665824355354	2.2096365668365943	-0.8422741283839574
current_XTX	-8.0	175	ytar	cm	44310	36160	0.1563987675359551	0.15325641663985862	-0.5229856426909429
current_XTX	-8.0	175	yptar	mrad	44310	36160	1.1142771852638733	1.084999352648525	-0.40175686758128215
