setting	construction	foil_lab_z_cm	lab_X_cm	lab_Y_cm	xscol	yscol	vertex_x_cm	vertex_y_cm	vertex_z_cm	xt_cm	yt_cm	p_slope	q_slope	sieve_x_cm	sieve_y_cm	dx_cm	dy_cm	dx_mm	dy_mm	setting_offset_x_cm	setting_offset_y_cm	dx_after_offset_cm	dy_after_offset_cm	dx_after_offset_mm	dy_after_offset_mm	dxt_cm	dyt_cm	dp_slope	dq_slope	dp_mrad	dq_mrad
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	2	4	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.37399313498560494	-1.5314843467107389	-0.028894719506038065	0.00911832588896952	-5.228306011999999	0.000394402636140434	-0.14830601199999904	0.000394402636140434	-1.4830601199999904	0.00394402636140434	-0.14830601200000001	0.0	9.71445146547012e-16	0.000394402636140434	9.71445146547012e-15	0.00394402636140434	-0.005429599957784248	1.761466707428383e-05	-0.000850454833584615	2.242785530156069e-06	-0.849766036979751	0.0022425991176508453
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	2	4	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.3673505128075006	-1.5315019613778131	-0.02804426467245345	0.009116083103439363	-5.07878697777968	0.0	0.001213022220319715	0.0	0.01213022220319715	0.0	0.0	0.0	0.001213022220319715	0.0	0.01213022220319715	0.0	0.0012130222203201035	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.2	0.0	6	4	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.08519868935345776	-1.5315019613778131	0.029730960182419892	0.009116083103439363	5.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	6	4	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.07738111098560493	-1.5314843467107389	0.028894719506038065	0.00911832588896952	4.931693987999999	0.000394402636140434	-0.14830601200000082	0.000394402636140434	-1.4830601200000082	0.00394402636140434	-0.14830601200000001	0.0	-8.049116928532385e-16	0.000394402636140434	-8.049116928532385e-15	0.00394402636140434	-0.007817578367852823	1.761466707428383e-05	-0.0008362406763818275	2.242785530156069e-06	-0.8355227111692815	0.0022425991176508453
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	6	4	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.08391271107041326	-1.5315019613778131	0.029730960182419892	0.009116083103439363	5.078714021716955	0.0	-0.0012859782830449973	0.0	-0.012859782830449973	0.0	0.0	0.0	-0.0012859782830449973	0.0	-0.012859782830449973	0.0	-0.0012859782830444977	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.2	0.0	4	2	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14168242283718147	-1.6676306286921967	0.0008433477549832229	-0.008216484353022638	-2.7755575615628914e-17	-3.048	-2.7755575615628914e-17	0.0	-2.7755575615628914e-16	0.0	0.0	0.0	-2.7755575615628914e-17	0.0	-2.7755575615628914e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	4	2	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14830601200000001	-1.6676465050981881	0.0	-0.00821850581465332	-0.14830601200000001	-3.0483554819599457	-0.14830601200000001	-0.0003554819599456138	-1.4830601200000002	-0.0035548195994561382	-0.14830601200000001	0.0	0.0	-0.0003554819599456138	0.0	-0.0035548195994561382	-0.0066235891628185495	-1.5876405991432918e-05	-0.0008433477549832229	-2.0214616306812178e-06	-0.8433475550437055	-0.002021325136202304
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	4	2	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14171890086854366	-1.6676306286921967	0.0008433477549832229	-0.008216484353022638	-3.647803136222483e-05	-3.048	-3.647803136222483e-05	0.0	-0.0003647803136222483	0.0	0.0	0.0	-3.647803136222483e-05	0.0	-0.0003647803136222483	0.0	-3.647803136219707e-05	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.2	0.0	4	6	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14168242283718147	-1.3953732940634296	0.0008433477549832229	0.02644865055990137	-2.7755575615628914e-17	3.048	-2.7755575615628914e-17	0.0	-2.7755575615628914e-16	0.0	0.0	0.0	-2.7755575615628914e-17	0.0	-2.7755575615628914e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	4	6	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14830601200000001	-1.3953221883232894	0.0	0.02645515759259236	-0.14830601200000001	3.0491442872322274	-0.14830601200000001	0.00114428723222737	-1.4830601200000002	0.0114428723222737	-0.14830601200000001	0.0	0.0	0.00114428723222737	0.0	0.0114428723222737	-0.0066235891628185495	5.110574014022262e-05	-0.0008433477549832229	6.507032690991621e-06	-0.8433475550437055	0.006502482882697613
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	4	6	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.14171890086854366	-1.3953732940634296	0.0008433477549832229	0.02644865055990137	-3.647803136222483e-05	3.048	-3.647803136222483e-05	0.0	-0.0003647803136222483	0.0	0.0	0.0	-3.647803136222483e-05	0.0	-0.0003647803136222483	0.0	-3.647803136219707e-05	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.2	0.0	0	0	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.5954446472184599	-1.8037592960065802	-0.056931877099890116	-0.025549051809484642	-10.16	-6.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
