N	last_code	degree	rank	truncated	sigma_max_Ay	sigma_min_Ay	threshold_Ay	sigma_min_minus_threshold_Ay	min_over_threshold_Ay	log10_min_over_threshold_Ay	log10_min_retained_over_threshold_Ay	kappa_Ay	rank_scaled	truncated_scaled	threshold_scaled_Gram	min_over_threshold_scaled_Gram	log10_min_over_threshold_scaled_Gram	kappa_scaled_Gram	min_over_threshold_direct_X	min_over_threshold_scaled_direct_X	xptar_residual_rms_mrad	ytar_residual_rms_cm	yptar_residual_rms_mrad	xptar_step_prediction_rms_mrad	ytar_step_prediction_rms_cm	yptar_step_prediction_rms_mrad	xptar_prediction_diff_from_full_rms_mrad	ytar_prediction_diff_from_full_rms_cm	yptar_prediction_diff_from_full_rms_mrad
65	01120	4	62	3	166965.08741299095	9.680657519170653e-13	3.707369687089089e-11	-3.610563111897383e-11	0.0261119293090288	-1.5831610386592394	0.12027087979843042	1.724728791224658e+17	65	0	8.361241903184804e-15	244382882.0366921	8.388070782186851	18428457.7947416	10525519.540974144	1049096114377.1426	2.061130491445778	0.15332612625050174	1.1395258284766243	0.004536422664470462	0.0016594028525980277	0.0030359383211287323	0.5835694634393325	0.042502161000041144	0.17953324951962774
66	00220	4	63	3	166965.0874132677	9.562533979641777e-13	3.7073696870952344e-11	-3.6117443472988166e-11	0.02579331112547918	-1.5884929032586803	0.12034198905697895	1.7460339254085702e+17	66	0	8.493331443068292e-15	240374481.32844004	8.380888360142263	18735764.306099202	10513601.643647404	1040456834881.9171	2.0608468290436655	0.1532502294594465	1.138726057809778	0.03445854206836015	0.004931624579811884	0.042744695589563016	0.5825880194122801	0.04221642354990442	0.17437255758398365
67	10030	4	63	4	166965.0874132725	3.81853810612907e-12	3.707369687095341e-11	-3.325515876482434e-11	0.10299857927362048	-0.9871687657597048	0.11989384212620484	4.3724871344161704e+16	67	0	8.647627151987487e-15	236068161.82917294	8.373037418360873	19077539.26863486	10504122.54904465	1031094799891.5305	2.0607645609362857	0.15359546392397222	1.1391614421515286	0.007661280247018592	0.004834187374511567	0.010732883297931392	0.5822673355949312	0.043361652996636336	0.17650686299403745
68	01030	4	63	5	166965.08741327265	3.1024356633126355e-13	3.707369687095344e-11	-3.676345330462218e-11	0.008368293224470249	-2.077363110558748	0.11973778157134266	5.381742138529801e+17	68	0	8.81256480122221e-15	230938387.48238614	8.3634961290458	19501303.687391464	6138734.232692122	1019830395938.9987	2.0607634469321505	0.1536237214407255	1.1392005246599797	0.0006029669946541354	0.00036281539697161384	0.001029149993273306	0.5822427164917396	0.043475570362266014	0.17669387846476264
69	00130	4	63	6	166965.087413277	3.023306311991415e-13	3.707369687095441e-11	-3.677136623975527e-11	0.008154855240131287	-2.0885837438781727	0.12026098707202189	5.522599107838965e+17	69	0	8.946237211483535e-15	227045352.1620316	8.356112615899866	19835682.97912784	6059562.909781892	1011197984599.0765	2.0607578461631793	0.15358024330134837	1.1391531744097672	0.003325857932037826	0.0008665386199437559	0.0034695432002296808	0.5821870391738639	0.04331139978555013	0.17642916277242168
70	00040	4	63	7	166965.08741327713	2.597703271391157e-13	3.707369687095444e-11	-3.681392654381532e-11	0.007006863330714505	-2.1544763533634805	0.11888229957988075	6.427411831523841e+17	70	0	9.080244113752838e-15	223389841.52637488	8.34906342003586	20160270.478721708	4202559.0392404925	1003024629667.452	2.0607792524132664	0.15358181457823378	1.1391584291776493	0.001627239540782208	0.00029612424893518793	0.0006014458432014892	0.5822415863438647	0.04331564833817056	0.17641153602004506
71	50000	5	64	7	166965.18588399663	2.5982867220141207e-13	3.7073718735846446e-11	-3.681389006364503e-11	0.0070084329563137315	-2.1543790768271465	0.12028506943215567	6.42597233282129e+17	71	0	9.145897239106949e-15	221786193.0177304	8.345934506272776	20306041.445106827	4202524.1297632465	999417939058.5569	2.0607102301475706	0.15356336003325774	1.1390706228073684	0.01213164351262743	0.0022472955151689096	0.014375193672424859	0.5820037093221593	0.043248443017244904	0.17585806720242636
72	41000	5	65	7	166965.18755914923	2.5930106692128514e-13	3.707371910780504e-11	-3.6814418040883755e-11	0.00699420163828924	-2.155261851418532	0.12005698297380782	6.439047457133453e+17	72	0	9.221929932055177e-15	219810667.42736408	8.342048764941081	20488539.88789557	4202261.712970961	994956903880.9891	2.058063191561741	0.15351155246853965	1.13881399096925	0.10457345795555104	0.00408295745995483	0.024032343188982064	0.5725626947529305	0.04306790916324037	0.1742099840318107
73	32000	5	66	7	166965.18758560639	2.6078212294855143e-13	3.707371911367971e-11	-3.681293699073116e-11	0.007034150583838412	-2.152788338744399	0.11986025011195012	6.402478271815672e+17	73	0	9.302796533045841e-15	209788590.5432415	8.321781865178554	21467323.917418744	4200770.330792139	972010194840.8202	2.00890606846162	0.15349689950824263	1.138806398411142	0.4470253129450614	0.001898678578008543	0.0033440942896626018	0.3578378406837132	0.04302135787313682	0.17416780393427467
74	23000	5	67	7	166965.18758601494	2.5725774228608425e-13	3.707371911377043e-11	-3.6816461371484345e-11	0.0069390864589716885	-2.1586977012947894	0.04231672994394525	6.490190969659557e+17	74	0	9.385792685845204e-15	117056847.19436714	8.068396822661057	38473611.20099613	4200490.479034581	726069675833.3121	2.0070271486972526	0.15342117646411696	1.1387651129270178	0.08767047253483308	0.004491724550939012	0.016984716773197517	0.34792524370297423	0.04277107837513801	0.1736842815341242
75	14000	5	67	8	166965.18758602123	2.9964982979427016e-13	3.7073719113771826e-11	-3.6774069283977556e-11	0.008082540326604536	-2.092452119864797	0.06956693792127208	5.572010092602225e+17	75	0	9.468494300151002e-15	21846413.761820618	7.339380154748963	206148234.50982642	4200291.038959276	313667819569.9281	2.0071749459697474	0.15342389431911213	1.1387495756261157	0.005922310752473175	0.000833161763938319	0.005130704825148077	0.34804058569973445	0.0427439767680725	0.17367182052344224
76	05000	5	67	9	166965.18758602138	9.724873941940929e-15	3.707371911377186e-11	-3.706399423982992e-11	0.0002623117986112272	-3.581182174691729	0.0774560930403075	1.7168879368805247e+19	76	0	9.547281157902302e-15	6803590.168664499	6.832738144909936	661944578.6303915	1082668.6278641636	175044696176.84567	2.0072062618182884	0.15342490514414384	1.138656819875617	0.003691035693147382	0.0016759364411664602	0.009243536037830498	0.34814946702020555	0.04269208336253892	0.1734191984299432
77	40100	5	68	9	166965.18807036115	9.724960195666093e-15	3.707371922131689e-11	-3.7063994261121226e-11	0.0002623141243966257	-3.581178324040359	0.07465192488819518	1.716872714242767e+19	77	0	9.653050114744962e-15	6726123.332678625	6.8277648264354545	669568398.4101096	1082556.736783833	174045298927.1522	2.0071941406392186	0.15342914719661402	1.1387572961901227	0.005266733499745727	0.001910419234900672	0.010544389949340425	0.3480185602525078	0.04277011587037591	0.17368201096058045
78	31100	5	69	9	166965.18808171124	9.717526904032738e-15	3.707371922383712e-11	-3.7064001696933085e-11	0.00026211362408400357	-3.58151040480415	0.07631183884939141	1.7181860130731545e+19	78	0	9.771279825062006e-15	6643479.94472055	6.822395628298016	677897677.850209	1082435.306758907	172972753076.47424	2.0070994387628747	0.15340274607440973	1.138596673702978	0.020224703377411817	0.0031797369150972895	0.013434150633919601	0.3475671141489007	0.04259649890498811	0.1731702855578266
79	22100	5	70	9	166965.18808192172	9.69884861983941e-15	3.7073719223883854e-11	-3.706402037526402e-11	0.00026160980939811293	-3.5823459756092384	0.0729504918067283	1.7214949384856599e+19	79	0	9.895158005349523e-15	6560227.669399226	6.816918911608594	686500507.959189	1081222.3350093162	171885538823.1365	2.004059665137471	0.15326066579574987	1.13865680817104	0.11112005328731735	0.007353780391088881	0.021152464615501295	0.32961396950106714	0.04217984441428158	0.17296628789243837
80	13100	5	70	10	166965.18808192524	9.522784721587332e-15	3.7073719223884636e-11	-3.7064196439163045e-11	0.0002568607876668685	-3.5903021900104592	0.0794549657954274	1.7533231398524588e+19	80	0	1.0020052583001044e-14	6451214.357385772	6.809641472630856	698101067.1602441	1071038.9976526892	170451418741.02966	2.0040790545806644	0.15323697648273799	1.1385697758621063	0.008656178301562458	0.00216480046794182	0.009972995740162959	0.3299308747009896	0.04199902024772646	0.17268012604587946
81	04100	5	70	11	166965.1880819253	4.4661643721263764e-14	3.707371922388465e-11	-3.702905758016339e-11	0.0012046712511241823	-2.9191314537547273	0.0803128851741979	3.738447002174079e+18	81	0	1.0141302139723216e-14	6235508.626903677	6.794871884414125	722250564.7637627	1071034.019753014	167577545897.92685	2.0040876018802525	0.15324047668691726	1.1386271543497168	0.0029108251285133954	0.0008854993447003749	0.005217052939159153	0.3300009911727152	0.04203237894929706	0.17282722321262042
82	30200	5	71	11	166965.189264365	4.564373045481451e-14	3.7073719486439007e-11	-3.702807575598419e-11	0.0012311613479060357	-2.909685027561424	0.0795604721997169	3.658009273138924e+18	82	0	1.0273083134360625e-14	6155513.207373098	6.789264267476704	731636741.8359313	1071026.8791670094	166499148706.63245	2.0040660482302117	0.15321191164227974	1.1385831412715979	0.008180163038136457	0.002571732247144372	0.01087216247392964	0.3298689751328987	0.04193660208272118	0.17249902996770222
83	21200	5	72	11	166965.18928176648	3.8733007292283944e-14	3.707371949030291e-11	-3.703498648301063e-11	0.001044756442698312	-2.980984942012814	0.08062526905005932	4.3106693994046735e+18	83	0	1.0416772587581004e-14	6069896.607283612	6.783181293502173	741956563.4719993	1070515.1949287893	165337181713.88782	2.0036339086629646	0.15304335963394197	1.1382835737559478	0.04049249006972508	0.006710633824619175	0.02238237901055609	0.32742386204462215	0.041256218305909496	0.170890173843095
84	12200	5	73	11	166965.1892820197	3.9038441162132714e-14	3.707371949035914e-11	-3.703468104919701e-11	0.001052994997501788	-2.9775736920267923	0.03304035384582058	4.2769430415673446e+18	84	0	1.0564829858018131e-14	5973303.553758762	6.776214585460716	753954589.2551469	1069251.7376755555	164016362651.79678	2.0005592341248297	0.15309902088926755	1.1383572115238085	0.11358458479836724	0.0021538421120993784	0.008724445265223509	0.30140567000448987	0.04148539170034327	0.17148425787851915
85	03200	5	73	12	166965.18928202338	3.8768714197931367e-14	3.707371949035995e-11	-3.703495077616202e-11	0.0010457195752374441	-2.9805847621752135	0.035179925950845604	4.3066991706145454e+18	85	0	1.071114741263871e-14	5584587.586171986	6.746991106607746	806433699.512901	1046390.1163821227	158589867762.50327	2.0004527185088214	0.1530928909921002	1.138246493113155	0.006515700650112543	0.0014396804461236546	0.00863175019889116	0.30133192260486397	0.041402928472042126	0.17124937822631148
86	20300	5	74	12	166965.18932300556	3.83275165414217e-14	3.7073719499459825e-11	-3.70353919829184e-11	0.0010338190248750235	-2.985555479982009	0.03509213251609046	4.356274666076036e+18	86	0	1.0838651403344741e-14	5518499.514610066	6.741821008687627	816091333.4226718	1046335.2036369031	157648697852.08426	2.000415191598347	0.15305660223560089	1.1383791328653925	0.015927323588960457	0.002657233990311478	0.014767816753843095	0.30063257692743717	0.04138888022666806	0.17136570010093957
87	11300	5	75	12	166965.1893236975	2.405474285468909e-14	3.707371949961347e-11	-3.7049664756758776e-11	0.0006488354332761212	-3.1878654410778795	0.03047247339639689	6.941050683115089e+18	87	0	1.0977139482623073e-14	5448870.877782527	6.736306516523862	826519792.5195249	1046326.4933865148	156650989158.69553	2.0003406797968246	0.153067805303886	1.1382742775788086	0.019363309738055383	0.0015974565892151098	0.01080617488256017	0.3004777551329652	0.0413712556524706	0.17097447420311404
88	02300	5	76	12	166965.18932370862	1.979905666031665e-14	3.7073719499615936e-11	-3.705392044295562e-11	0.0005340455969226869	-3.272421661236387	0.025207797178745363	8.432987095711373e+18	88	0	1.1119232612311926e-14	5378911.993053107	6.730694438640634	837269625.0072354	1045091.000009464	155642107580.7293	1.9997017995034065	0.1528720025916901	1.1381432157498579	0.04985564071599107	0.006963504695298659	0.02730524955727017	0.29632465251853346	0.04083608224710661	0.16961045140911854
89	10400	5	77	12	166965.18939135515	1.960491524207314e-14	3.707371951463648e-11	-3.705411459939441e-11	0.0005288089649147083	-3.2767011908522465	0.027432252546905764	8.516496364801384e+18	89	0	1.1240942275659244e-14	5320667.889771193	6.725966151587547	846435019.1878197	1045033.230041273	154797149539.51447	1.999719833061794	0.15297300754424029	1.1380426582370562	0.0076940713790371274	0.004102101548665147	0.024329247253171836	0.29670642612091996	0.0410383430716503	0.16975245258783617
