rungroup	zfoil_cm	population	low_cm	high_cm	count
rg01_theta12p490_foil0	0.0	dense_half	0.16629797547925396	0.17410848244154964	39
rg01_theta12p490_foil0	0.0	dense_half	0.17410848244154964	0.18191898940384532	44
rg01_theta12p490_foil0	0.0	dense_half	0.18191898940384532	0.1897294963661409	32
rg01_theta12p490_foil0	0.0	dense_half	0.1897294963661409	0.19754000332843658	1
rg01_theta12p490_foil0	0.0	dense_half	0.19754000332843658	0.2053505102907323	0
rg01_theta12p490_foil0	0.0	outer_core	-0.5757001859388322	-0.5678896789765365	0
rg01_theta12p490_foil0	0.0	outer_core	-0.5678896789765365	-0.560079172014241	1
rg01_theta12p490_foil0	0.0	outer_core	-0.560079172014241	-0.5522686650519453	15
rg01_theta12p490_foil0	0.0	outer_core	-0.5522686650519453	-0.5444581580896496	17
rg01_theta12p490_foil0	0.0	outer_core	-0.5444581580896496	-0.536647651127354	32
rg01_theta12p490_foil0	0.0	outer_core	-0.536647651127354	-0.5288371441650583	39
rg01_theta12p490_foil0	0.0	outer_core	-0.5288371441650583	-0.5210266372027627	52
rg01_theta12p490_foil0	0.0	outer_core	-0.5210266372027627	-0.5132161302404671	68
rg01_theta12p490_foil0	0.0	outer_core	-0.5132161302404671	-0.5054056232781714	58
rg01_theta12p490_foil0	0.0	outer_core	-0.5054056232781714	-0.4975951163158758	84
rg01_theta12p490_foil0	0.0	outer_core	-0.4975951163158758	-0.48978460935358015	111
rg01_theta12p490_foil0	0.0	outer_core	-0.48978460935358015	-0.48197410239128446	139
rg01_theta12p490_foil0	0.0	outer_core	-0.48197410239128446	-0.47416359542898884	188
rg01_theta12p490_foil0	0.0	outer_core	-0.47416359542898884	-0.4663530884666932	235
rg01_theta12p490_foil0	0.0	outer_core	-0.4663530884666932	-0.45854258150439753	242
rg01_theta12p490_foil0	0.0	outer_core	-0.45854258150439753	-0.4507320745421019	278
rg01_theta12p490_foil0	0.0	outer_core	-0.4507320745421019	-0.4429215675798063	288
rg01_theta12p490_foil0	0.0	outer_core	-0.4429215675798063	-0.4351110606175106	306
rg01_theta12p490_foil0	0.0	outer_core	-0.4351110606175106	-0.42730055365521497	338
rg01_theta12p490_foil0	0.0	outer_core	-0.42730055365521497	-0.41949004669291934	362
rg01_theta12p490_foil0	0.0	outer_core	-0.41949004669291934	-0.41167953973062366	393
rg01_theta12p490_foil0	0.0	outer_core	-0.41167953973062366	-0.40386903276832803	462
rg01_theta12p490_foil0	0.0	outer_core	-0.40386903276832803	-0.3960585258060324	520
rg01_theta12p490_foil0	0.0	outer_core	-0.3960585258060324	-0.3882480188437367	592
rg01_theta12p490_foil0	0.0	outer_core	-0.3882480188437367	-0.3804375118814411	690
rg01_theta12p490_foil0	0.0	outer_core	-0.3804375118814411	-0.37262700491914547	733
rg01_theta12p490_foil0	0.0	outer_core	-0.37262700491914547	-0.3648164979568498	800
rg01_theta12p490_foil0	0.0	outer_core	-0.3648164979568498	-0.35700599099455416	869
rg01_theta12p490_foil0	0.0	outer_core	-0.35700599099455416	-0.34919548403225853	895
rg01_theta12p490_foil0	0.0	outer_core	-0.34919548403225853	-0.34138497706996285	949
rg01_theta12p490_foil0	0.0	outer_core	-0.34138497706996285	-0.3335744701076673	1040
rg01_theta12p490_foil0	0.0	outer_core	-0.3335744701076673	-0.3257639631453716	1082
rg01_theta12p490_foil0	0.0	outer_core	-0.3257639631453716	-0.31795345618307597	1181
rg01_theta12p490_foil0	0.0	outer_core	-0.31795345618307597	-0.3101429492207803	1211
rg01_theta12p490_foil0	0.0	outer_core	-0.3101429492207803	-0.30233244225848466	1310
rg01_theta12p490_foil0	0.0	outer_core	-0.30233244225848466	-0.29452193529618903	1389
rg01_theta12p490_foil0	0.0	outer_core	-0.29452193529618903	-0.28671142833389335	1446
rg01_theta12p490_foil0	0.0	outer_core	-0.28671142833389335	-0.2789009213715977	1444
rg01_theta12p490_foil0	0.0	outer_core	-0.2789009213715977	-0.2710904144093021	1593
rg01_theta12p490_foil0	0.0	outer_core	-0.2710904144093021	-0.26327990744700647	1674
rg01_theta12p490_foil0	0.0	outer_core	-0.26327990744700647	-0.2554694004847108	1704
rg01_theta12p490_foil0	0.0	outer_core	-0.2554694004847108	-0.24765889352241516	1802
rg01_theta12p490_foil0	0.0	outer_core	-0.24765889352241516	-0.23984838656011953	1866
rg01_theta12p490_foil0	0.0	outer_core	-0.23984838656011953	-0.23203787959782385	1959
rg01_theta12p490_foil0	0.0	outer_core	-0.23203787959782385	-0.22422737263552822	1966
rg01_theta12p490_foil0	0.0	outer_core	-0.22422737263552822	-0.2164168656732326	1990
rg01_theta12p490_foil0	0.0	outer_core	-0.2164168656732326	-0.2086063587109369	2082
rg01_theta12p490_foil0	0.0	outer_core	-0.2086063587109369	-0.20079585174864129	2040
rg01_theta12p490_foil0	0.0	outer_core	-0.20079585174864129	-0.19298534478634566	2048
rg01_theta12p490_foil0	0.0	outer_core	-0.19298534478634566	-0.18517483782404998	2093
rg01_theta12p490_foil0	0.0	outer_core	-0.18517483782404998	-0.17736433086175435	2179
rg01_theta12p490_foil0	0.0	outer_core	-0.17736433086175435	-0.16955382389945872	2127
rg01_theta12p490_foil0	0.0	outer_core	-0.16955382389945872	-0.16174331693716304	2169
rg01_theta12p490_foil0	0.0	outer_core	-0.16174331693716304	-0.1539328099748674	2084
rg01_theta12p490_foil0	0.0	outer_core	-0.1539328099748674	-0.14612230301257179	2068
rg01_theta12p490_foil0	0.0	outer_core	-0.14612230301257179	-0.1383117960502761	2026
rg01_theta12p490_foil0	0.0	outer_core	-0.1383117960502761	-0.13050128908798048	1967
rg01_theta12p490_foil0	0.0	outer_core	-0.13050128908798048	-0.12269078212568485	2013
rg01_theta12p490_foil0	0.0	outer_core	-0.12269078212568485	-0.11488027516338922	1909
rg01_theta12p490_foil0	0.0	outer_core	-0.11488027516338922	-0.10706976820109354	1987
rg01_theta12p490_foil0	0.0	outer_core	-0.10706976820109354	-0.09925926123879791	1917
rg01_theta12p490_foil0	0.0	outer_core	-0.09925926123879791	-0.09144875427650229	1848
rg01_theta12p490_foil0	0.0	outer_core	-0.09144875427650229	-0.0836382473142066	1752
rg01_theta12p490_foil0	0.0	outer_core	-0.0836382473142066	-0.07582774035191098	1757
rg01_theta12p490_foil0	0.0	outer_core	-0.07582774035191098	-0.0680172333896153	1603
rg01_theta12p490_foil0	0.0	outer_core	-0.0680172333896153	-0.06020672642731972	1469
rg01_theta12p490_foil0	0.0	outer_core	-0.06020672642731972	-0.05239621946502404	1520
rg01_theta12p490_foil0	0.0	outer_core	-0.05239621946502404	-0.04458571250272836	1429
rg01_theta12p490_foil0	0.0	outer_core	-0.04458571250272836	-0.03677520554043279	1363
rg01_theta12p490_foil0	0.0	outer_core	-0.03677520554043279	-0.028964698578137105	1286
rg01_theta12p490_foil0	0.0	outer_core	-0.028964698578137105	-0.021154191615841422	1129
rg01_theta12p490_foil0	0.0	outer_core	-0.021154191615841422	-0.013343684653545851	1055
rg01_theta12p490_foil0	0.0	outer_core	-0.013343684653545851	-0.0055331776912501685	1018
rg01_theta12p490_foil0	0.0	outer_core	-0.0055331776912501685	0.002277329271045514	951
rg01_theta12p490_foil0	0.0	outer_core	0.002277329271045514	0.010087836233341085	938
rg01_theta12p490_foil0	0.0	outer_core	0.010087836233341085	0.017898343195636768	827
rg01_theta12p490_foil0	0.0	outer_core	0.017898343195636768	0.02570885015793245	740
rg01_theta12p490_foil0	0.0	outer_core	0.02570885015793245	0.03351935712022802	658
rg01_theta12p490_foil0	0.0	outer_core	0.03351935712022802	0.041329864082523704	520
rg01_theta12p490_foil0	0.0	outer_core	0.041329864082523704	0.049140371044819275	526
rg01_theta12p490_foil0	0.0	outer_core	0.049140371044819275	0.05695087800711496	419
rg01_theta12p490_foil0	0.0	outer_core	0.05695087800711496	0.06476138496941064	439
rg01_theta12p490_foil0	0.0	outer_core	0.06476138496941064	0.07257189193170621	371
rg01_theta12p490_foil0	0.0	outer_core	0.07257189193170621	0.0803823988940019	327
rg01_theta12p490_foil0	0.0	outer_core	0.0803823988940019	0.08819290585629758	311
rg01_theta12p490_foil0	0.0	outer_core	0.08819290585629758	0.09600341281859315	300
rg01_theta12p490_foil0	0.0	outer_core	0.09600341281859315	0.10381391978088883	194
rg01_theta12p490_foil0	0.0	outer_core	0.10381391978088883	0.11162442674318451	156
rg01_theta12p490_foil0	0.0	outer_core	0.11162442674318451	0.11943493370548008	164
rg01_theta12p490_foil0	0.0	outer_core	0.11943493370548008	0.12724544066777577	142
rg01_theta12p490_foil0	0.0	outer_core	0.12724544066777577	0.13505594763007145	126
rg01_theta12p490_foil0	0.0	outer_core	0.13505594763007145	0.14286645459236702	103
rg01_theta12p490_foil0	0.0	outer_core	0.14286645459236702	0.1506769615546627	89
rg01_theta12p490_foil0	0.0	outer_core	0.1506769615546627	0.15848746851695839	79
rg01_theta12p490_foil0	0.0	outer_core	0.15848746851695839	0.16629797547925396	61
rg01_theta12p490_foil0	0.0	outer_core	0.16629797547925396	0.17410848244154964	68
rg01_theta12p490_foil0	0.0	outer_core	0.17410848244154964	0.18191898940384532	45
rg01_theta12p490_foil0	0.0	outer_core	0.18191898940384532	0.1897294963661409	37
rg01_theta12p490_foil0	0.0	outer_core	0.1897294963661409	0.19754000332843658	0
rg01_theta12p490_foil0	0.0	outer_core	0.19754000332843658	0.2053505102907323	0
rg01_theta12p490_foil0	0.0	shoulders	-0.5757001859388322	-0.5678896789765365	0
rg01_theta12p490_foil0	0.0	shoulders	-0.5678896789765365	-0.560079172014241	0
rg01_theta12p490_foil0	0.0	shoulders	-0.560079172014241	-0.5522686650519453	4
rg01_theta12p490_foil0	0.0	shoulders	-0.5522686650519453	-0.5444581580896496	13
rg01_theta12p490_foil0	0.0	shoulders	-0.5444581580896496	-0.536647651127354	29
rg01_theta12p490_foil0	0.0	shoulders	-0.536647651127354	-0.5288371441650583	21
rg01_theta12p490_foil0	0.0	shoulders	-0.5288371441650583	-0.5210266372027627	49
rg01_theta12p490_foil0	0.0	shoulders	-0.5210266372027627	-0.5132161302404671	55
rg01_theta12p490_foil0	0.0	shoulders	-0.5132161302404671	-0.5054056232781714	73
rg01_theta12p490_foil0	0.0	shoulders	-0.5054056232781714	-0.4975951163158758	90
rg01_theta12p490_foil0	0.0	shoulders	-0.4975951163158758	-0.48978460935358015	126
rg01_theta12p490_foil0	0.0	shoulders	-0.48978460935358015	-0.48197410239128446	142
rg01_theta12p490_foil0	0.0	shoulders	-0.48197410239128446	-0.47416359542898884	187
rg01_theta12p490_foil0	0.0	shoulders	-0.47416359542898884	-0.4663530884666932	177
rg01_theta12p490_foil0	0.0	shoulders	-0.4663530884666932	-0.45854258150439753	205
rg01_theta12p490_foil0	0.0	shoulders	-0.45854258150439753	-0.4507320745421019	209
rg01_theta12p490_foil0	0.0	shoulders	-0.4507320745421019	-0.4429215675798063	247
rg01_theta12p490_foil0	0.0	shoulders	-0.4429215675798063	-0.4351110606175106	282
rg01_theta12p490_foil0	0.0	shoulders	-0.4351110606175106	-0.42730055365521497	345
rg01_theta12p490_foil0	0.0	shoulders	-0.42730055365521497	-0.41949004669291934	290
rg01_theta12p490_foil0	0.0	shoulders	-0.41949004669291934	-0.41167953973062366	328
rg01_theta12p490_foil0	0.0	shoulders	-0.41167953973062366	-0.40386903276832803	414
rg01_theta12p490_foil0	0.0	shoulders	-0.40386903276832803	-0.3960585258060324	390
rg01_theta12p490_foil0	0.0	shoulders	-0.3960585258060324	-0.3882480188437367	489
rg01_theta12p490_foil0	0.0	shoulders	-0.3882480188437367	-0.3804375118814411	562
rg01_theta12p490_foil0	0.0	shoulders	-0.3804375118814411	-0.37262700491914547	559
rg01_theta12p490_foil0	0.0	shoulders	-0.37262700491914547	-0.3648164979568498	573
rg01_theta12p490_foil0	0.0	shoulders	-0.3648164979568498	-0.35700599099455416	585
rg01_theta12p490_foil0	0.0	shoulders	-0.35700599099455416	-0.34919548403225853	655
rg01_theta12p490_foil0	0.0	shoulders	-0.34919548403225853	-0.34138497706996285	622
rg01_theta12p490_foil0	0.0	shoulders	-0.34138497706996285	-0.3335744701076673	674
rg01_theta12p490_foil0	0.0	shoulders	-0.3335744701076673	-0.3257639631453716	681
rg01_theta12p490_foil0	0.0	shoulders	-0.3257639631453716	-0.31795345618307597	727
rg01_theta12p490_foil0	0.0	shoulders	-0.31795345618307597	-0.3101429492207803	749
rg01_theta12p490_foil0	0.0	shoulders	-0.3101429492207803	-0.30233244225848466	685
rg01_theta12p490_foil0	0.0	shoulders	-0.30233244225848466	-0.29452193529618903	748
rg01_theta12p490_foil0	0.0	shoulders	-0.29452193529618903	-0.28671142833389335	791
rg01_theta12p490_foil0	0.0	shoulders	-0.28671142833389335	-0.2789009213715977	816
rg01_theta12p490_foil0	0.0	shoulders	-0.2789009213715977	-0.2710904144093021	815
rg01_theta12p490_foil0	0.0	shoulders	-0.2710904144093021	-0.26327990744700647	821
rg01_theta12p490_foil0	0.0	shoulders	-0.26327990744700647	-0.2554694004847108	809
rg01_theta12p490_foil0	0.0	shoulders	-0.2554694004847108	-0.24765889352241516	869
rg01_theta12p490_foil0	0.0	shoulders	-0.24765889352241516	-0.23984838656011953	945
rg01_theta12p490_foil0	0.0	shoulders	-0.23984838656011953	-0.23203787959782385	913
rg01_theta12p490_foil0	0.0	shoulders	-0.23203787959782385	-0.22422737263552822	944
rg01_theta12p490_foil0	0.0	shoulders	-0.22422737263552822	-0.2164168656732326	889
rg01_theta12p490_foil0	0.0	shoulders	-0.2164168656732326	-0.2086063587109369	885
rg01_theta12p490_foil0	0.0	shoulders	-0.2086063587109369	-0.20079585174864129	965
rg01_theta12p490_foil0	0.0	shoulders	-0.20079585174864129	-0.19298534478634566	857
rg01_theta12p490_foil0	0.0	shoulders	-0.19298534478634566	-0.18517483782404998	976
rg01_theta12p490_foil0	0.0	shoulders	-0.18517483782404998	-0.17736433086175435	955
rg01_theta12p490_foil0	0.0	shoulders	-0.17736433086175435	-0.16955382389945872	911
rg01_theta12p490_foil0	0.0	shoulders	-0.16955382389945872	-0.16174331693716304	791
rg01_theta12p490_foil0	0.0	shoulders	-0.16174331693716304	-0.1539328099748674	939
rg01_theta12p490_foil0	0.0	shoulders	-0.1539328099748674	-0.14612230301257179	946
rg01_theta12p490_foil0	0.0	shoulders	-0.14612230301257179	-0.1383117960502761	898
rg01_theta12p490_foil0	0.0	shoulders	-0.1383117960502761	-0.13050128908798048	914
rg01_theta12p490_foil0	0.0	shoulders	-0.13050128908798048	-0.12269078212568485	939
rg01_theta12p490_foil0	0.0	shoulders	-0.12269078212568485	-0.11488027516338922	882
rg01_theta12p490_foil0	0.0	shoulders	-0.11488027516338922	-0.10706976820109354	816
rg01_theta12p490_foil0	0.0	shoulders	-0.10706976820109354	-0.09925926123879791	852
rg01_theta12p490_foil0	0.0	shoulders	-0.09925926123879791	-0.09144875427650229	868
rg01_theta12p490_foil0	0.0	shoulders	-0.09144875427650229	-0.0836382473142066	864
rg01_theta12p490_foil0	0.0	shoulders	-0.0836382473142066	-0.07582774035191098	809
rg01_theta12p490_foil0	0.0	shoulders	-0.07582774035191098	-0.0680172333896153	840
rg01_theta12p490_foil0	0.0	shoulders	-0.0680172333896153	-0.06020672642731972	798
rg01_theta12p490_foil0	0.0	shoulders	-0.06020672642731972	-0.05239621946502404	787
rg01_theta12p490_foil0	0.0	shoulders	-0.05239621946502404	-0.04458571250272836	752
rg01_theta12p490_foil0	0.0	shoulders	-0.04458571250272836	-0.03677520554043279	769
rg01_theta12p490_foil0	0.0	shoulders	-0.03677520554043279	-0.028964698578137105	683
rg01_theta12p490_foil0	0.0	shoulders	-0.028964698578137105	-0.021154191615841422	664
rg01_theta12p490_foil0	0.0	shoulders	-0.021154191615841422	-0.013343684653545851	670
rg01_theta12p490_foil0	0.0	shoulders	-0.013343684653545851	-0.0055331776912501685	665
rg01_theta12p490_foil0	0.0	shoulders	-0.0055331776912501685	0.002277329271045514	628
rg01_theta12p490_foil0	0.0	shoulders	0.002277329271045514	0.010087836233341085	605
