rungroup	zfoil_cm	population	n	mean_cm	std_cm	median_cm	p05_cm	p95_cm
rg05_theta12p495_foilpm3	3.0	out_of_core	6059	0.4287625294117387	0.16042046780837443	0.430136984921902	0.1693692932024828	0.6803873154180252
rg06_theta15p195_foilpm8	-8.0	dense_half	6471	-2.080228279247138	0.17303004628798527	-2.095940429548029	-2.33644873316846	-1.7616882539972056
rg06_theta15p195_foilpm8	-8.0	outer_core	6362	-2.0779395829486176	0.17660133277508222	-2.098051063521951	-2.3342050619631567	-1.7454590901511944
rg06_theta15p195_foilpm8	-8.0	shoulders	3995	-2.060131744196399	0.1970920674814096	-2.0842647968778385	-2.3412155550727767	-1.6963107793690608
rg06_theta15p195_foilpm8	-8.0	unsupported	366	-2.0340890919313797	0.23609249236588536	-2.0727767150040215	-2.333632079447218	-1.580476177622104
rg06_theta15p195_foilpm8	-8.0	out_of_core	4361	-2.0579460962420315	0.20078670022968553	-2.082591299199827	-2.3407088307174377	-1.6792597521633632
rg06_theta15p195_foilpm8	8.0	dense_half	4922	1.7967672939635704	0.16936346832592183	1.796217145228789	1.5107092548589283	2.0788767006182445
rg06_theta15p195_foilpm8	8.0	outer_core	4835	1.7985242198581	0.17449021700280623	1.8001159151411643	1.4984781234867013	2.0911055562304086
rg06_theta15p195_foilpm8	8.0	shoulders	2322	1.8007895112474752	0.1930291162412717	1.8033951484012578	1.460075461027293	2.108919779731115
rg06_theta15p195_foilpm8	8.0	unsupported	285	1.8927413415198064	0.208454426330122	1.9323456657830462	1.48527213790717	2.1522039882475554
rg06_theta15p195_foilpm8	8.0	out_of_core	2607	1.8108417826811596	0.1968769730540661	1.816396542763855	1.4608001013761696	2.1200640681924257
rg07_theta12p495_foilpm8	-8.0	dense_half	9533	-1.7671584121821224	0.17556960674843383	-1.7794779645640375	-2.0306448217440933	-1.4480531741162066
rg07_theta12p495_foilpm8	-8.0	outer_core	9416	-1.7693496458103506	0.1805133291897907	-1.78363850064982	-2.0390467873845117	-1.4519599494758246
rg07_theta12p495_foilpm8	-8.0	shoulders	6426	-1.7588595922484227	0.21010253435687073	-1.772469094981153	-2.068095210569237	-1.3863413885050333
rg07_theta12p495_foilpm8	-8.0	unsupported	218	-1.6905685530386598	0.27252376778161796	-1.7031915353531863	-2.0622369740266406	-1.2250332259708887
