rungroup	foil	ndel	xscol	yscol	available	training
rg01_theta12p490_foil0	0	3	5	1	205	15
rg01_theta12p490_foil0	0	3	5	2	595	42
rg01_theta12p490_foil0	0	3	5	3	933	68
rg01_theta12p490_foil0	0	3	5	4	1427	108
rg01_theta12p490_foil0	0	3	5	6	2817	170
rg01_theta12p490_foil0	0	3	5	7	1442	132
rg01_theta12p490_foil0	0	3	6	1	96	7
rg01_theta12p490_foil0	0	3	6	2	571	39
rg01_theta12p490_foil0	0	3	6	3	797	66
rg01_theta12p490_foil0	0	3	6	4	1209	92
rg01_theta12p490_foil0	0	3	6	5	1659	133
rg01_theta12p490_foil0	0	3	6	6	2295	139
rg01_theta12p490_foil0	0	3	6	7	587	44
rg01_theta12p490_foil0	0	3	7	2	383	24
rg01_theta12p490_foil0	0	3	7	3	608	41
rg01_theta12p490_foil0	0	3	7	4	907	60
rg01_theta12p490_foil0	0	3	7	5	1289	103
rg01_theta12p490_foil0	0	3	7	6	1748	112
rg01_theta12p490_foil0	0	3	8	2	133	5
rg01_theta12p490_foil0	0	3	8	3	416	26
rg01_theta12p490_foil0	0	3	8	4	570	36
rg01_theta12p490_foil0	0	3	8	5	907	59
rg01_theta12p490_foil0	0	3	8	6	159	9
rg01_theta12p490_foil0	0	4	0	2	29	2
rg01_theta12p490_foil0	0	4	0	3	241	21
rg01_theta12p490_foil0	0	4	0	4	375	16
rg01_theta12p490_foil0	0	4	0	5	609	45
rg01_theta12p490_foil0	0	4	1	2	240	23
rg01_theta12p490_foil0	0	4	1	3	389	27
rg01_theta12p490_foil0	0	4	1	4	592	51
rg01_theta12p490_foil0	0	4	1	5	888	67
rg01_theta12p490_foil0	0	4	1	6	1218	88
rg01_theta12p490_foil0	0	4	2	1	47	0
rg01_theta12p490_foil0	0	4	2	2	278	25
rg01_theta12p490_foil0	0	4	2	4	804	58
rg01_theta12p490_foil0	0	4	2	5	1085	90
rg01_theta12p490_foil0	0	4	2	6	1651	125
rg01_theta12p490_foil0	0	4	2	7	874	71
rg01_theta12p490_foil0	0	4	3	1	115	5
rg01_theta12p490_foil0	0	4	3	2	329	29
rg01_theta12p490_foil0	0	4	3	3	594	45
rg01_theta12p490_foil0	0	4	3	4	944	66
rg01_theta12p490_foil0	0	4	3	5	1385	117
rg01_theta12p490_foil0	0	4	3	6	1952	167
rg01_theta12p490_foil0	0	4	3	7	2034	132
rg01_theta12p490_foil0	0	4	4	1	106	11
rg01_theta12p490_foil0	0	4	4	2	361	32
rg01_theta12p490_foil0	0	4	4	3	624	40
rg01_theta12p490_foil0	0	4	4	4	230	14
rg01_theta12p490_foil0	0	4	4	5	1514	118
rg01_theta12p490_foil0	0	4	4	6	2181	177
rg01_theta12p490_foil0	0	4	4	7	2305	173
rg01_theta12p490_foil0	0	4	5	1	147	17
rg01_theta12p490_foil0	0	4	5	2	300	25
rg01_theta12p490_foil0	0	4	5	3	557	40
rg01_theta12p490_foil0	0	4	5	4	935	90
rg01_theta12p490_foil0	0	4	5	6	1892	162
rg01_theta12p490_foil0	0	4	5	7	1803	122
rg01_theta12p490_foil0	0	4	6	1	74	7
rg01_theta12p490_foil0	0	4	6	2	277	21
rg01_theta12p490_foil0	0	4	6	3	457	37
rg01_theta12p490_foil0	0	4	6	4	724	63
rg01_theta12p490_foil0	0	4	6	5	1102	76
rg01_theta12p490_foil0	0	4	6	6	1605	128
rg01_theta12p490_foil0	0	4	6	7	705	47
rg01_theta12p490_foil0	0	4	7	2	131	9
rg01_theta12p490_foil0	0	4	7	3	316	26
rg01_theta12p490_foil0	0	4	7	4	490	33
rg01_theta12p490_foil0	0	4	7	5	870	78
rg01_theta12p490_foil0	0	4	7	6	1325	108
rg01_theta12p490_foil0	0	4	8	3	178	13
rg01_theta12p490_foil0	0	4	8	4	324	21
rg01_theta12p490_foil0	0	4	8	5	560	55
rg02_theta15p195_foil0	0	0	0	2	25	19
rg02_theta15p195_foil0	0	0	0	3	35	25
rg02_theta15p195_foil0	0	0	0	4	43	36
rg02_theta15p195_foil0	0	0	0	5	29	22
rg02_theta15p195_foil0	0	0	0	6	1	0
rg02_theta15p195_foil0	0	0	1	2	35	31
rg02_theta15p195_foil0	0	0	1	3	56	46
rg02_theta15p195_foil0	0	0	1	4	80	69
rg02_theta15p195_foil0	0	0	1	5	72	49
rg02_theta15p195_foil0	0	0	1	6	47	31
rg02_theta15p195_foil0	0	0	2	2	36	28
rg02_theta15p195_foil0	0	0	2	4	80	68
rg02_theta15p195_foil0	0	0	2	5	102	75
rg02_theta15p195_foil0	0	0	2	6	108	85
rg02_theta15p195_foil0	0	0	3	2	22	18
rg02_theta15p195_foil0	0	0	3	3	76	58
rg02_theta15p195_foil0	0	0	3	4	93	75
rg02_theta15p195_foil0	0	0	3	5	145	119
rg02_theta15p195_foil0	0	0	3	6	143	114
rg02_theta15p195_foil0	0	0	4	2	31	25
rg02_theta15p195_foil0	0	0	4	3	71	53
rg02_theta15p195_foil0	0	0	4	4	33	22
rg02_theta15p195_foil0	0	0	4	5	149	115
rg02_theta15p195_foil0	0	0	4	6	159	119
rg02_theta15p195_foil0	0	0	5	2	18	13
rg02_theta15p195_foil0	0	0	5	3	70	53
rg02_theta15p195_foil0	0	0	5	4	104	86
rg02_theta15p195_foil0	0	0	5	6	149	111
rg02_theta15p195_foil0	0	0	6	2	6	4
rg02_theta15p195_foil0	0	0	6	3	39	31
rg02_theta15p195_foil0	0	0	6	4	65	57
rg02_theta15p195_foil0	0	0	6	5	92	74
rg02_theta15p195_foil0	0	0	6	6	156	119
rg02_theta15p195_foil0	0	0	7	2	7	5
rg02_theta15p195_foil0	0	0	7	3	26	19
rg02_theta15p195_foil0	0	0	7	4	52	40
rg02_theta15p195_foil0	0	0	7	5	55	41
rg02_theta15p195_foil0	0	0	7	6	97	74
rg02_theta15p195_foil0	0	0	8	3	14	11
rg02_theta15p195_foil0	0	0	8	4	17	13
rg02_theta15p195_foil0	0	0	8	5	35	28
rg02_theta15p195_foil0	0	0	8	6	53	43
rg02_theta15p195_foil0	0	1	0	2	29	20
rg02_theta15p195_foil0	0	1	0	3	40	31
rg02_theta15p195_foil0	0	1	0	4	61	47
rg02_theta15p195_foil0	0	1	0	5	76	61
rg02_theta15p195_foil0	0	1	0	6	27	13
rg02_theta15p195_foil0	0	1	1	2	42	33
rg02_theta15p195_foil0	0	1	1	3	78	61
rg02_theta15p195_foil0	0	1	1	4	87	67
rg02_theta15p195_foil0	0	1	1	5	131	96
rg02_theta15p195_foil0	0	1	1	6	121	67
rg02_theta15p195_foil0	0	1	2	1	6	5
rg02_theta15p195_foil0	0	1	2	2	67	55
rg02_theta15p195_foil0	0	1	2	4	133	103
rg02_theta15p195_foil0	0	1	2	5	170	131
rg02_theta15p195_foil0	0	1	2	6	236	141
rg02_theta15p195_foil0	0	1	3	2	60	46
rg02_theta15p195_foil0	0	1	3	3	107	78
rg02_theta15p195_foil0	0	1	3	4	133	98
rg02_theta15p195_foil0	0	1	3	5	191	150
rg02_theta15p195_foil0	0	1	3	6	223	121
rg02_theta15p195_foil0	0	1	3	7	11	11
rg02_theta15p195_foil0	0	1	4	1	4	3
rg02_theta15p195_foil0	0	1	4	2	63	46
rg02_theta15p195_foil0	0	1	4	3	131	97
rg02_theta15p195_foil0	0	1	4	4	38	27
rg02_theta15p195_foil0	0	1	4	5	204	158
rg02_theta15p195_foil0	0	1	4	6	276	175
rg02_theta15p195_foil0	0	1	4	7	10	9
rg02_theta15p195_foil0	0	1	5	2	53	38
rg02_theta15p195_foil0	0	1	5	3	100	72
rg02_theta15p195_foil0	0	1	5	4	135	114
rg02_theta15p195_foil0	0	1	5	6	271	166
rg02_theta15p195_foil0	0	1	6	2	34	23
rg02_theta15p195_foil0	0	1	6	3	105	86
rg02_theta15p195_foil0	0	1	6	4	134	111
rg02_theta15p195_foil0	0	1	6	5	159	122
rg02_theta15p195_foil0	0	1	6	6	264	171
rg02_theta15p195_foil0	0	1	7	2	34	30
rg02_theta15p195_foil0	0	1	7	3	58	42
rg02_theta15p195_foil0	0	1	7	4	100	80
rg02_theta15p195_foil0	0	1	7	5	137	102
rg02_theta15p195_foil0	0	1	7	6	163	108
rg02_theta15p195_foil0	0	1	8	2	12	11
rg02_theta15p195_foil0	0	1	8	3	30	24
rg02_theta15p195_foil0	0	1	8	4	57	48
rg02_theta15p195_foil0	0	1	8	5	82	60
rg02_theta15p195_foil0	0	1	8	6	66	38
rg02_theta15p195_foil0	0	2	0	2	21	18
rg02_theta15p195_foil0	0	2	0	3	57	45
