pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	setting	-8.0	0	rg03_theta12p490_foilpm8			svd	ytar	1233	False	0.06385391824350418	0.22911618540708553	0.4308663852830846
training	setting	-8.0	0	rg03_theta12p490_foilpm8			svd	yptar	1233	False	-0.29138341140690904	1.359087923705545	2.5798479542593458
training	setting	-8.0	0	rg03_theta12p490_foilpm8			svd	ztar	1233	False	0.31680624760940634	1.1440302798725286	2.171196916116372
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	enet	xptar	21	False	-2.52930654273375	2.9979695067805125	5.7293371043719565
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	enet	ytar	21	False	0.16650928863360312	0.2036384764582618	0.3457507234454444
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	enet	yptar	21	False	-0.5307693493905357	1.0842883555393028	1.756247765621622
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	enet	ztar	21	False	0.793588681800316	0.9743252363594688	1.6354589473788073
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	svd	xptar	21	False	-0.9104714474324012	1.8254031294561168	4.28228825251209
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	svd	ytar	21	False	0.014071167451889136	0.13514862297036168	0.2087548264910477
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	svd	yptar	21	False	-0.11809287507439052	1.0731837139165559	1.9816001886348542
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	svd	ztar	21	False	0.06740845102829292	0.6604735247909944	1.0311660410777268
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	enet	xptar	34	False	0.13967703413515895	2.9255448108059197	5.226059022246501
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	enet	ytar	34	False	0.4782275682694531	0.5084693077879457	0.7477347865904349
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	enet	yptar	34	False	-0.8034674886881602	1.4080352874852535	2.5210114506553194
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	enet	ztar	34	False	2.3431046919899052	2.497497045391151	3.689934454674825
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	svd	xptar	34	False	1.937066687203805	3.5202952577484994	7.071025568825775
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	svd	ytar	34	False	0.11633918639386231	0.2424154789348105	0.45412317243015665
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	svd	yptar	34	False	0.05698949190661448	1.2192252923932116	2.5906355635286014
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	svd	ztar	34	False	0.5582470151501456	1.2102448989065984	2.265923505459907
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	enet	xptar	13	False	-2.299492500577184	3.529455965318617	6.037968455222821
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	enet	ytar	13	False	0.6442250300625919	0.6526403673229356	0.7727965314073599
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	enet	yptar	13	False	-1.2313381642635521	1.7002322760978754	2.657876166829055
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	enet	ztar	13	False	3.2932850085040437	3.3388731098998448	3.965478043625999
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	svd	xptar	13	False	0.18821768123581148	2.5314594003145054	4.06611267916908
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	svd	ytar	13	False	0.18666713372969387	0.22884960685904276	0.3530187971743838
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	svd	yptar	13	False	-0.4776735431886369	1.285597069762435	1.8734122626633858
