target	fold	l1	alpha	mse	active	converged	dual_gap
yptar	1	0.1	0.1	2.1952828061194926e-05	23	True	9.627935552882702e-07
xptar	1	0.1	0.03	7.880069123995909e-05	31	True	9.54244188019452e-07
ytar	1	0.1	0.03	2.8928390158764178e-05	68	True	9.986167277029525e-07
yptar	1	0.1	0.03	7.784700216543238e-06	38	True	9.979372242717535e-07
xptar	1	0.1	0.01	2.2753942795721613e-05	50	True	9.967761855978982e-07
ytar	1	0.1	0.01	1.3286265051517262e-05	85	True	9.997988992594494e-07
yptar	1	0.1	0.01	3.1224284566469056e-06	51	True	9.990877568350793e-07
xptar	1	0.1	0.003	8.55001259531047e-06	68	True	9.99079361622682e-07
ytar	1	0.1	0.003	6.27937142824917e-06	99	False	0.00022927434931337606
yptar	1	0.1	0.003	1.701840724832001e-06	61	True	9.990767929030343e-07
xptar	1	0.1	0.001	5.183905366868066e-06	99	False	7.311407459955976e-06
ytar	1	0.1	0.001	4.027511653510171e-06	129	False	0.0006389890815491286
yptar	1	0.1	0.001	1.3551419644690326e-06	73	True	9.988931161820167e-07
xptar	1	0.1	0.0003	4.059918448220206e-06	113	False	1.4254511054986833e-05
ytar	1	0.1	0.0003	3.042944418884386e-06	154	False	0.002074022121764339
yptar	1	0.1	0.0003	1.2462336942986743e-06	100	False	8.386312074544212e-05
xptar	1	0.1	0.0001	3.5566843404393028e-06	131	False	0.00010196750974080943
ytar	1	0.1	0.0001	2.61751680499379e-06	167	False	0.0038584808738496407
yptar	1	0.1	0.0001	1.208476869722035e-06	129	False	8.590861722338786e-05
xptar	1	0.1	3e-05	3.181924497525445e-06	165	False	0.000771760247412093
ytar	1	0.1	3e-05	2.439215796038789e-06	191	False	0.005622551895304085
yptar	1	0.1	3e-05	1.1914843087983453e-06	151	False	0.0009812338335770743
xptar	1	0.1	1e-05	3.0216136517158852e-06	194	False	0.000964804590002423
ytar	1	0.1	1e-05	2.3832748648803434e-06	203	False	0.006965532878411218
yptar	1	0.1	1e-05	1.1866205655261313e-06	182	False	0.001986058186625168
xptar	1	0.5	0.1	0.00030739111972412873	8	True	8.583476363333474e-07
ytar	1	0.5	0.1	9.590354767175789e-05	13	True	9.440972865363402e-07
yptar	1	0.5	0.1	2.6245603077373132e-05	6	True	5.464841787040446e-07
xptar	1	0.5	0.03	7.279112146664101e-05	11	True	9.514078304187067e-07
ytar	1	0.5	0.03	3.159911814311592e-05	19	True	9.98949000974305e-07
yptar	1	0.5	0.03	9.280782952557554e-06	8	True	9.274556930260582e-07
xptar	1	0.5	0.01	2.2214345154225192e-05	13	True	9.875402065282866e-07
ytar	1	0.5	0.01	1.2823294193521036e-05	34	True	9.962760506190608e-07
yptar	1	0.5	0.01	3.7674555170169625e-06	17	True	9.999171692533919e-07
xptar	1	0.5	0.003	1.0058980656677624e-05	30	True	9.930381014105631e-07
ytar	1	0.5	0.003	6.605230289168538e-06	45	True	9.978428603531166e-07
yptar	1	0.5	0.003	1.8378373505403155e-06	28	True	9.956782391872834e-07
xptar	1	0.5	0.001	6.260238534342941e-06	41	True	9.998452124698151e-07
ytar	1	0.5	0.001	4.211937938486451e-06	62	True	9.997597726816812e-07
yptar	1	0.5	0.001	1.4803284812051293e-06	37	True	9.993519762797136e-07
xptar	1	0.5	0.0003	4.689164992429354e-06	59	True	9.997713154932292e-07
ytar	1	0.5	0.0003	3.0884273464387053e-06	90	False	0.0003560076742991603
yptar	1	0.5	0.0003	1.3025476480069686e-06	59	True	9.99681703729588e-07
