target	l1	alpha	mse	se	active	converged
xptar	0.9	1e-05	3.1672314587373455e-06	2.159642278766841e-08	111.0	False
ytar	0.1	0.1	6.318336989812756e-05	1.2333036165662838e-07	61.0	True
ytar	0.1	0.03	2.905115257424507e-05	8.60095764626541e-08	68.0	True
ytar	0.1	0.01	1.3406208054911861e-05	7.135635874135853e-08	85.33333333333333	True
ytar	0.1	0.003	6.361621039425215e-06	5.06049479345586e-08	99.66666666666667	False
ytar	0.1	0.001	4.064669422433418e-06	2.4767711253944208e-08	128.0	False
ytar	0.1	0.0003	3.049086388658399e-06	1.297556286363316e-08	153.33333333333334	False
ytar	0.1	0.0001	2.6106876084639417e-06	1.0244982983322032e-08	167.33333333333334	False
ytar	0.1	3e-05	2.4286259102153176e-06	9.744396729878654e-09	190.33333333333334	False
ytar	0.1	1e-05	2.3736226053337307e-06	8.897727984851744e-09	203.33333333333334	False
ytar	0.5	0.1	9.604773735947088e-05	2.3236018153716e-07	12.666666666666666	True
ytar	0.5	0.03	3.173534071442465e-05	9.832875578959103e-08	19.666666666666668	True
ytar	0.5	0.01	1.2924307144401147e-05	6.309163108870163e-08	34.0	True
ytar	0.5	0.003	6.688373707367445e-06	4.582018986727697e-08	45.0	True
ytar	0.5	0.001	4.255701693509199e-06	2.800166472884135e-08	62.666666666666664	True
ytar	0.5	0.0003	3.1012587169456814e-06	1.3573786757447092e-08	90.0	False
ytar	0.5	0.0001	2.6131750768196493e-06	9.476373577374517e-09	113.66666666666667	False
ytar	0.5	3e-05	2.43188150576328e-06	9.172679632150558e-09	141.0	False
ytar	0.5	1e-05	2.375537780054822e-06	8.861522655932241e-09	167.0	False
ytar	0.9	0.1	0.00011466449952009097	6.980285670059806e-08	2.0	True
ytar	0.9	0.03	3.1301162569182546e-05	9.767269821813663e-08	10.333333333333334	True
ytar	0.9	0.01	1.1682083362083813e-05	6.017723206244779e-08	17.333333333333332	True
ytar	0.9	0.003	6.857763561381843e-06	3.981248161659939e-08	29.666666666666668	True
ytar	0.9	0.001	4.355072478797253e-06	2.202704700726845e-08	50.0	True
ytar	0.9	0.0003	3.120903581480989e-06	1.2516337461225521e-08	68.0	False
ytar	0.9	0.0001	2.5875174487951335e-06	8.52561407241492e-09	87.33333333333333	False
ytar	0.9	3e-05	2.4334796100776666e-06	9.299025422158054e-09	109.0	False
ytar	0.9	1e-05	2.3797066251600203e-06	8.926121392269829e-09	148.66666666666666	False
yptar	0.1	0.1	2.195144683906897e-05	3.922078673557294e-08	22.333333333333332	True
yptar	0.1	0.03	7.787121716102024e-06	3.0388673555777135e-08	38.666666666666664	True
yptar	0.1	0.01	3.1346402635112145e-06	2.208493967182597e-08	50.666666666666664	True
yptar	0.1	0.003	1.7135862444303565e-06	1.1946113277574513e-08	61.666666666666664	True
yptar	0.1	0.001	1.3646096763222973e-06	7.308257086239179e-09	73.0	False
yptar	0.1	0.0003	1.2502618293089663e-06	4.3843743922954685e-09	98.66666666666667	False
yptar	0.1	0.0001	1.2104971727377413e-06	3.339155731364325e-09	127.66666666666667	False
yptar	0.1	3e-05	1.1932381647709307e-06	2.3553243526653366e-09	153.66666666666666	False
yptar	0.1	1e-05	1.188251548911371e-06	1.8291747211479734e-09	185.33333333333334	False
yptar	0.5	0.1	2.625580765823195e-05	7.854710921519189e-08	6.0	True
yptar	0.5	0.03	9.29835122950443e-06	4.0701343184780855e-08	8.0	True
yptar	0.5	0.01	3.777874443844031e-06	2.1483669173502933e-08	17.0	True
yptar	0.5	0.003	1.8456423217660685e-06	1.1834154621236769e-08	27.666666666666668	True
yptar	0.5	0.001	1.487395423091924e-06	6.494870715248917e-09	36.666666666666664	True
yptar	0.5	0.0003	1.3083935446189603e-06	4.95071836421353e-09	56.0	True
yptar	0.5	0.0001	1.2324304503947847e-06	3.632755807503608e-09	73.66666666666667	False
yptar	0.5	3e-05	1.201012633983743e-06	2.258400031050433e-09	98.66666666666667	False
yptar	0.5	1e-05	1.1919044872052685e-06	1.8407518830576547e-09	126.66666666666667	False
yptar	0.9	0.1	3.0180130722157148e-05	8.496883045446546e-08	3.0	True
