term	target	coefficient	standardized	active	fold_frequency
01010	xptar	-1.5004823640976162	-0.012357097655142271	True	1.0
01010	ytar	-23.450910222565025	-0.5671944245532102	True	1.0
01010	yptar	4.4391122687413835	0.09109099537884213	True	1.0
00110	xptar	-0.0	-0.0	False	0.0
00110	ytar	-0.0	-0.0	False	0.0
00110	yptar	0.3721485244963477	0.02719491671068097	True	1.0
00020	xptar	-0.0	-0.0	False	0.0
00020	ytar	-5.254376690978668	-0.055129857763068536	True	1.0
00020	yptar	0.46610965985047964	0.004149166290511071	True	1.0
30000	xptar	0.7970353509942535	0.5169902898492614	True	1.0
30000	ytar	0.0	0.0	False	0.3333333333333333
30000	yptar	-0.0	-0.0	False	0.3333333333333333
21000	xptar	-7.553403981783775	-0.5628839194108138	True	1.0
21000	ytar	0.013411772587071755	0.002935276214479669	True	1.0
21000	yptar	-0.05239166422347849	-0.009728190320076524	True	1.0
12000	xptar	-0.0	-0.0	False	0.0
12000	ytar	-0.0	-0.0	False	0.0
12000	yptar	-0.0	-0.0	False	0.0
03000	xptar	41.21686093427391	0.053592369784818676	True	1.0
03000	ytar	-12.174180255620525	-0.04648945359688963	True	1.0
03000	yptar	3.808824979341789	0.012339932969260127	True	1.0
20100	xptar	0.4009094646091535	0.08131608380809623	True	1.0
20100	ytar	-0.0	-0.0	False	0.0
20100	yptar	0.029935893046409045	0.015129204723363474	True	1.0
11100	xptar	-0.0	-0.0	False	0.0
11100	ytar	0.0	0.0	False	0.0
11100	yptar	-0.0	-0.0	False	0.0
02100	xptar	-19.787335494871357	-0.0586958387030254	True	1.0
02100	ytar	0.0	0.0	False	0.0
02100	yptar	-6.065654097897827	-0.044832336282197	True	1.0
10200	xptar	0.3157104946426708	0.027060429360495176	True	1.0
10200	ytar	-0.0	-0.0	False	0.0
10200	yptar	0.0	0.0	False	0.0
01200	xptar	-0.0	-0.0	False	0.0
01200	ytar	0.5151633523259288	0.014983712354995932	True	1.0
01200	yptar	-0.08053522016214044	-0.00198731809418497	True	1.0
00300	xptar	0.724801225276443	0.034413791003359645	True	1.0
00300	ytar	-1.305240194677223	-0.1820080945213775	True	1.0
00300	yptar	0.3113562210902152	0.03683535681423958	True	1.0
20010	xptar	-5.504653937681133	-0.12674687094685125	True	1.0
20010	ytar	16.726160148151788	1.1310717137774133	True	1.0
20010	yptar	-5.970267389890076	-0.34252694648124116	True	1.0
11010	xptar	0.0	0.0	False	0.0
11010	ytar	-131.76559084474158	-1.0563878974196084	True	1.0
11010	yptar	44.605134206390424	0.30339842611028456	True	1.0
02010	xptar	301.5542302065187	0.10255704788809229	True	1.0
02010	ytar	-0.0	-0.0	False	0.0
02010	yptar	0.0	0.0	False	0.0
10110	xptar	0.0	0.0	False	0.0
10110	ytar	-0.0	-0.0	False	0.0
10110	yptar	0.0	0.0	False	0.0
01110	xptar	-21.06515898597098	-0.02266775864774255	True	1.0
01110	ytar	59.74221841293039	0.18880428626153226	True	1.0
01110	yptar	-18.108350659217106	-0.04855304478319919	True	1.0
00210	xptar	0.0	0.0	False	0.0
00210	ytar	-0.0	-0.0	False	0.0
00210	yptar	0.0	0.0	False	0.0
10020	xptar	0.0	0.0	False	0.0
10020	ytar	-44.73697962369866	-0.14920065438028865	True	1.0
10020	yptar	22.18281656837853	0.06276648756160583	True	1.0
01020	xptar	-77.20256684661305	-0.010231870332549877	True	1.0
01020	ytar	0.0	0.0	False	0.0
01020	yptar	-0.0	-0.0	False	0.0
00120	xptar	-0.0	-0.0	False	0.0
00120	ytar	-116.53772786659049	-0.22973852768928385	True	1.0
00120	yptar	34.02971043475559	0.056915769330751834	True	1.0
00030	xptar	0.0	0.0	False	0.0
00030	ytar	1749.7081243832856	0.43666577513613547	True	1.0
00030	yptar	-562.9258994847526	-0.11919055613929036	True	1.0
40000	xptar	-0.8953160617872421	-0.18979329565480424	True	1.0
40000	ytar	-0.0	-0.0	False	0.0
40000	yptar	0.0	0.0	False	0.0
31000	xptar	5.579101833848768	0.1422987215738595	True	1.0
31000	ytar	-0.0	-0.0	False	0.0
31000	yptar	0.0	0.0	False	0.0
22000	xptar	41.561425697179715	0.13465467636690104	True	1.0
22000	ytar	-0.0	-0.0	False	0.0
22000	yptar	0.0	0.0	False	0.0
13000	xptar	0.0	0.0	False	0.0
13000	ytar	0.0	0.0	False	0.0
13000	yptar	-0.0	-0.0	False	0.0
04000	xptar	-1315.7714279143609	-0.07561494016014603	True	1.0
04000	ytar	33.55883102080851	0.005663966177377523	True	1.0
04000	yptar	-40.282353837097375	-0.005768139257108911	True	1.0
30100	xptar	-0.0	-0.0	False	0.0
30100	ytar	-0.0	-0.0	False	0.0
30100	yptar	0.0	0.0	False	0.0
21100	xptar	-0.0	-0.0	False	0.0
21100	ytar	18.461124741971076	0.4615589535979357	True	1.0
21100	yptar	-2.821072245153326	-0.059839823145491605	True	1.0
12100	xptar	-0.0	-0.0	False	0.0
12100	ytar	17.236650642842225	0.05348805347522538	True	1.0
12100	yptar	-0.0	-0.0	False	0.0
03100	xptar	0.0	0.0	False	0.0
03100	ytar	-297.2997250871648	-0.1191155681645728	True	1.0
03100	yptar	0.0	0.0	False	0.0
20200	xptar	-0.7622632482956321	-0.02120528437556252	True	1.0
20200	ytar	0.40409492658241225	0.033014838961589965	True	1.0
20200	yptar	-0.0	-0.0	False	0.0
11200	xptar	0.0	0.0	False	0.0
11200	ytar	-0.0	-0.0	False	0.0
11200	yptar	0.0	0.0	False	0.0
02200	xptar	0.0	0.0	False	0.0
02200	ytar	-55.95831912474325	-0.06625922404623814	True	1.0
02200	yptar	5.216871464399881	0.005240815746550374	True	1.0
10300	xptar	-1.1365161864745406	-0.017595785235271746	True	1.0
10300	ytar	0.0	0.0	False	0.0
10300	yptar	-0.0	-0.0	False	0.0
01300	xptar	0.0	0.0	False	0.0
01300	ytar	0.0	0.0	False	0.0
01300	yptar	-0.0	-0.0	False	0.0
00400	xptar	-0.0	-0.0	False	0.0
00400	ytar	0.0	0.0	False	0.0
00400	yptar	0.0	0.0	False	0.0
30010	xptar	3.4873977538807774	0.028628420774670628	True	1.0
30010	ytar	-8.434310043173351	-0.2033443619377583	True	1.0
30010	yptar	0.0	0.0	False	0.0
21010	xptar	-0.0	-0.0	False	0.0
21010	ytar	-0.0	-0.0	False	0.0
21010	yptar	0.0	0.0	False	0.0
12010	xptar	-57.08163068968488	-0.00700184684721747	True	1.0
12010	ytar	-0.0	-0.0	False	0.0
12010	yptar	0.0	0.0	False	0.0
03010	xptar	-916.842758209371	-0.014383755902072262	True	1.0
03010	ytar	-2682.3363023494703	-0.12358829424676221	True	1.0
03010	yptar	277.70043044310256	0.010855447558626198	True	1.0
20110	xptar	-0.0	-0.0	False	0.0
20110	ytar	0.0	0.0	False	0.0
20110	yptar	-0.0	-0.0	False	0.0
11110	xptar	91.08610625246325	0.034872273785192344	True	1.0
11110	ytar	-0.0	-0.0	False	0.0
11110	yptar	0.0	0.0	False	0.0
02110	xptar	0.0	0.0	False	0.0
02110	ytar	-0.0	-0.0	False	0.0
02110	yptar	0.0	0.0	False	0.0
10210	xptar	0.0	0.0	False	0.0
10210	ytar	0.0	0.0	False	0.0
10210	yptar	-0.0	-0.0	False	0.0
01210	xptar	20.190414908429382	0.004110625461001019	True	1.0
01210	ytar	43.5295945045243	0.02602758966808633	True	1.0
01210	yptar	-7.356731532876534	-0.0037319971843325812	True	0.6666666666666666
00310	xptar	0.0	0.0	False	0.0
00310	ytar	0.0	0.0	False	0.0
00310	yptar	0.0	0.0	False	0.0
20020	xptar	-0.0	-0.0	False	0.0
20020	ytar	0.0	0.0	False	0.0
20020	yptar	-0.0	-0.0	False	0.0
11020	xptar	0.0	0.0	False	0.0
11020	ytar	0.0	0.0	False	0.0
11020	yptar	-0.0	-0.0	False	0.0
02020	xptar	-0.0	-0.0	False	0.0
02020	ytar	1901.3646993602752	0.031185851766459275	True	1.0
02020	yptar	-229.00246995882063	-0.0031866870839696044	True	1.0
10120	xptar	0.0	0.0	False	0.0
10120	ytar	-0.0	-0.0	False	0.0
10120	yptar	0.0	0.0	False	0.0
01120	xptar	0.0	0.0	False	0.0
